point	county_name	state_name
26.563496716437857, -81.98483599453145	Lee County	Florida
30.610592355476584, -85.66532868938788	Washington County	Florida
34.23766205535796, -84.84033863219584	Bartow County	Georgia
33.941474031032314, -84.57667862613118	Cobb County	Georgia
32.15717584045963, -83.79876678233781	Dooly County	Georgia
31.807229281248866, -81.4562532108426	Liberty County	Georgia
33.88064792986356, -83.08070345163894	Oglethorpe County	Georgia
35.78465550626596, -83.52419219232492	Sevier County	Tennessee
36.46905126620092, -86.46055276723207	Sumner County	Tennessee
31.947978151922722, -98.55825743003851	Comanche County	Texas
33.61462500130634, -101.29995851267516	Crosby County	Texas
31.317732566676383, -95.42267698330225	Houston County	Texas
29.89296009298915, -101.15171511896935	Val Verde County	Texas
37.48170651274694, -80.2113953156167	Craig County	Virginia
37.706593332860066, -77.08852223564061	King William County	Virginia
38.4137036404034, -78.27922399619658	Madison County	Virginia
37.85466734848725, -76.37952074604141	Northumberland County	Virginia
38.68477191893292, -78.159230527255	Rappahannock County	Virginia
47.205664693862445, -119.45176177874359	Grant County	Washington
48.54871511134866, -119.74085627983563	Okanogan County	Washington
39.13293373514123, -80.00302923450806	Barbour County	West Virginia
18.472021537131152, -66.26203070345787	Dorado Municipio	Puerto Rico
18.17209370738884, -66.94228507133545	Maricao Municipio	Puerto Rico
18.18310121263549, -67.60506433293132	Mayagüez Municipio	Puerto Rico
18.214904340242928, -66.43398802821234	Orocovis Municipio	Puerto Rico
39.987905293969035, -91.18849241001881	Adams County	Illinois
40.40377484481528, -91.16469538120133	Hancock County	Illinois
37.51823336067666, -88.2667824980487	Hardin County	Illinois
42.04256636509908, -89.32072651490948	Ogle County	Illinois
41.467328536164125, -90.56741307178864	Rock Island County	Illinois
38.42956124559026, -88.42561373034388	Wayne County	Illinois
39.03632772432647, -86.9620461466516	Greene County	Indiana
41.24409729490247, -85.86071773568004	Kosciusko County	Indiana
39.48154830871362, -86.4462122573402	Morgan County	Indiana
41.77232662812622, -91.1324231462887	Cedar County	Iowa
41.33071419947109, -94.0155621338024	Madison County	Iowa
43.37756788071242, -93.73419536556646	Winnebago County	Iowa
38.86650053401542, -97.15270298653174	Dickinson County	Kansas
38.48053745068984, -101.805968394813	Greeley County	Kansas
38.18133077389649, -99.23672939880313	Pawnee County	Kansas
39.35022875325984, -99.32505701343702	Rooks County	Kansas
37.563061444186616, -101.78418326847316	Stanton County	Kansas
37.10415341790165, -85.28064972470128	Adair County	Kentucky
36.75131655647441, -86.19041897179909	Allen County	Kentucky
34.90365751605492, -85.1382473705872	Catoosa County	Georgia
34.133909579671624, -83.56642498887634	Jackson County	Georgia
31.552379992954624, -97.20178661246075	McLennan County	Texas
40.09689974573696, -91.72214400071411	Lewis County	Missouri
37.1573916176262, -91.40051127989409	Shannon County	Missouri
47.307954361299004, -111.34704596801997	Cascade County	Montana
45.54038952108016, -111.17036901255423	Gallatin County	Montana
45.48838209225688, -110.52666276692752	Park County	Montana
47.67478842685502, -115.13331022276098	Sanders County	Montana
46.4662810692442, -109.84452245353212	Wheatland County	Montana
41.11158839519626, -102.3340011126918	Deuel County	Nebraska
40.44035786380521, -118.40443811988749	Pershing County	Nevada
42.98459789188884, -71.0890593395441	Rockingham County	New Hampshire
39.865932409351046, -74.2499160270928	Ocean County	New Jersey
35.480584639074614, -104.81589799255072	San Miguel County	New Mexico
42.39379831049069, -76.8751763147502	Schuyler County	New York
42.70238400396673, -78.2244398004138	Wyoming County	New York
35.021724620923194, -77.35516796717229	Jones County	North Carolina
46.096820595418464, -102.52849896062231	Adams County	North Dakota
39.55988301670815, -83.45609731775515	Fayette County	Ohio
33.94986117808112, -97.24412330403067	Love County	Oklahoma
36.30193464260413, -95.2307391687126	Mayes County	Oklahoma
34.92386166291421, -95.74841441094487	Pittsburg County	Oklahoma
45.546791501579676, -122.41510007564405	Multnomah County	Oregon
44.76005795240028, -96.66797424479144	Deuel County	South Dakota
43.694220719228724, -101.62813720848963	Jackson County	South Dakota
44.003713480357376, -102.82381490933693	Pennington County	South Dakota
35.58322202896099, -89.28383568027076	Haywood County	Tennessee
35.64263441921048, -87.85896668760574	Perry County	Tennessee
35.119902679762355, -84.52332302517692	Polk County	Tennessee
35.69598153934704, -85.45261402950366	Van Buren County	Tennessee
29.16784491388658, -95.43426783445925	Brazoria County	Texas
30.66079919900998, -96.30238475279894	Brazos County	Texas
33.07753452415945, -94.34359862311965	Cass County	Texas
29.708267046585707, -94.67136369242127	Chambers County	Texas
32.74252610309806, -101.94768448527796	Dawson County	Texas
34.07242453951803, -101.30323462020623	Floyd County	Texas
29.45673319045729, -97.49252389432444	Gonzales County	Texas
31.196233872509154, -98.24143999128027	Lampasas County	Texas
30.151612286783077, -94.81221233888547	Liberty County	Texas
32.897852020781905, -96.40788330738478	Rockwall County	Texas
32.37503557973338, -95.26918269146924	Smith County	Texas
30.01078908995222, -95.98764161953386	Waller County	Texas
38.324371602528714, -110.90365417963564	Wayne County	Utah
37.35435054907423, -77.0591278160659	Charles City County	Virginia
36.72039990604679, -77.10610072315711	Southampton County	Virginia
36.618036665084304, -82.16054049692762	Bristol city	Virginia
37.12289150934002, -80.55874910071326	Radford city	Virginia
48.47014516063046, -118.51658631846031	Ferry County	Washington
42.68000902477091, -89.60222202801747	Green County	Wisconsin
44.06887678244039, -88.64465871971643	Winnebago County	Wisconsin
43.05649770078967, -104.47537662135883	Niobrara County	Wyoming
44.78998926172621, -106.87938314991669	Sheridan County	Wyoming
43.93463727846889, -110.58980976734713	Teton County	Wyoming
18.223517506191364, -65.90889756971623	Juncos Municipio	Puerto Rico
18.422259597696193, -66.06832938257077	San Juan Municipio	Puerto Rico
37.69248122875072, -83.96433049652093	Estill County	Kentucky
37.639577230975846, -84.53763199562233	Garrard County	Kentucky
38.648815713277955, -84.62461347680863	Grant County	Kentucky
37.8051311136341, -85.46598873804761	Nelson County	Kentucky
38.51881742274506, -84.05202621924425	Robertson County	Kentucky
29.84686841253056, -93.19896014925237	Cameron Parish	Louisiana
32.09310166821015, -93.33984429217938	Red River Parish	Louisiana
38.53471197876421, -76.53056446630536	Calvert County	Maryland
39.4722127332959, -77.39798426175392	Frederick County	Maryland
39.235604058123506, -76.09582057588523	Kent County	Maryland
39.3009792658264, -76.61064728424972	Baltimore city	Maryland
41.995777691548554, -86.68542111858197	Berrien County	Michigan
44.683611131796226, -84.6103372143146	Crawford County	Michigan
46.00923941061042, -87.87025870867842	Dickinson County	Michigan
46.71401702681282, -85.56411887774861	Luce County	Michigan
43.335028785507504, -84.05318706262773	Saginaw County	Michigan
43.674004673099176, -92.0901756193131	Fillmore County	Minnesota
46.58575421268809, -94.96943238158886	Wadena County	Minnesota
31.633218341339152, -89.55262898640349	Covington County	Mississippi
33.128697341774064, -90.52662096566308	Humphreys County	Mississippi
32.75351714460258, -89.52401613609415	Leake County	Mississippi
34.76226557651136, -89.50305663203224	Marshall County	Mississippi
31.095016665939724, -85.83898490531104	Geneva County	Alabama
33.779205873021475, -88.09689891871705	Lamar County	Alabama
35.39552872827373, -109.48884962988842	Apache County	Arizona
38.44932188612124, -121.34425549901626	Sacramento County	California
38.326661060968846, -103.78482580930216	Crowley County	Colorado
38.47307297292802, -105.43952600552389	Fremont County	Colorado
39.979835810681585, -108.2172256468247	Rio Blanco County	Colorado
29.949959590830666, -82.16877789467745	Bradford County	Florida
29.210202463000623, -82.05667570184802	Marion County	Florida
25.039136411017893, -81.3641910041333	Monroe County	Florida
30.04383918563167, -82.37144071759148	Union County	Florida
32.806498318197036, -83.69742005164797	Bibb County	Georgia
33.79023999077486, -84.46701399063329	Fulton County	Georgia
31.037893388929167, -83.06265354232599	Lanier County	Georgia
34.77941255313207, -85.9992949803092	Jackson County	Alabama
58.2091446934899, -135.55908280359947	Hoonah-Angoon Census Area	Alaska
32.932662681900375, -109.88745168753182	Graham County	Arizona
34.28918748370231, -91.3742220887077	Arkansas County	Arkansas
35.25629054947143, -91.7455748878738	White County	Arkansas
38.266921456052465, -121.9399898298617	Solano County	California
37.20068756319836, -106.1916279700212	Conejos County	Colorado
38.66679761715546, -107.03170004428988	Gunnison County	Colorado
34.31689095127308, -83.81968607526113	Hall County	Georgia
40.705009104093435, -123.91581947074941	Humboldt County	California
37.6846796630358, -104.96058474460898	Huerfano County	Colorado
30.09475261652619, -84.34918722680085	Wakulla County	Florida
30.922502906098998, -81.6363880823597	Camden County	Georgia
31.602282928696816, -83.27637480802544	Irwin County	Georgia
31.805595667381976, -82.63694082015179	Jeff Davis County	Georgia
33.59082507013539, -83.49238198560815	Morgan County	Georgia
37.43204258192535, -93.85028836265595	Dade County	Missouri
37.4780954926187, -90.34502630137142	Madison County	Missouri
38.42373982637462, -92.88598468458451	Morgan County	Missouri
37.61647892705131, -93.40053253275411	Polk County	Missouri
40.470270988238475, -92.52094096578843	Schuyler County	Missouri
48.72118830100255, -104.50466278961007	Sheridan County	Montana
42.176903478725315, -98.06668531168492	Antelope County	Nebraska
41.568902684794104, -101.695829825248	Arthur County	Nebraska
40.909721712736186, -96.14086645982233	Cass County	Nebraska
42.4557109295726, -98.7838448782326	Holt County	Nebraska
41.850573910247846, -103.70795164708483	Scotts Bluff County	Nebraska
41.22059055078761, -98.9762071740519	Sherman County	Nebraska
40.17643318584164, -98.49994735936745	Webster County	Nebraska
40.73075409551142, -74.07617714854126	Hudson County	New Jersey
35.857935416566356, -103.8200488110768	Harding County	New Mexico
36.48166841849082, -103.47097048744904	Union County	New Mexico
42.91277209347694, -75.66966343297258	Madison County	New York
42.58821918328954, -74.44211774079491	Schoharie County	New York
35.92102628415744, -81.17702690311991	Alexander County	North Carolina
36.43409274665534, -81.5003842060133	Ashe County	North Carolina
35.51782231670574, -78.36571296269868	Johnston County	North Carolina
35.311922445719446, -80.2509950366191	Stanly County	North Carolina
46.93610639645197, -98.07154030901528	Barnes County	North Dakota
46.11265382511508, -101.04030552245929	Sioux County	North Dakota
39.43862767256621, -84.5756254057645	Butler County	Ohio
40.85077255879343, -82.9197775570053	Crawford County	Ohio
41.49953911384932, -81.1786515742847	Geauga County	Ohio
35.90666781451079, -94.99968925025507	Cherokee County	Oklahoma
35.94538808552286, -97.94210901997646	Kingfisher County	Oklahoma
34.48557980178662, -97.85153052999186	Stephens County	Oklahoma
45.16002341577983, -121.16777443592707	Wasco County	Oregon
44.726118850494544, -120.027566149449	Wheeler County	Oregon
40.70578677396869, -76.21594238377017	Schuylkill County	Pennsylvania
39.91995828123767, -76.7265140519622	York County	Pennsylvania
41.67335442286304, -71.5790219268098	Kent County	Rhode Island
43.310867777824186, -97.14866010055755	Turner County	South Dakota
34.83402564935037, -83.990720109977	Union County	Georgia
44.88958808336725, -116.4538829199634	Adams County	Idaho
43.21655795533866, -112.39807847468306	Bingham County	Idaho
43.78414024247956, -111.65918844492053	Madison County	Idaho
39.16929806260587, -90.66757232685417	Calhoun County	Illinois
38.606462428869165, -89.42248245560069	Clinton County	Illinois
40.74723716159245, -87.82429802211189	Iroquois County	Illinois
39.62248018153606, -90.88630440187903	Pike County	Illinois
38.19504268583219, -86.11142206443033	Harrison County	Indiana
39.93103960988082, -85.3964355620035	Henry County	Indiana
38.84116305148872, -86.48345128905584	Lawrence County	Indiana
41.33074633210563, -94.47094149853844	Adair County	Iowa
42.774587196046994, -92.31805479282164	Bremer County	Iowa
43.37798477673719, -95.15082996589922	Dickinson County	Iowa
42.38377685719739, -93.70679903405832	Hamilton County	Iowa
43.356767321996855, -92.31719879677154	Howard County	Iowa
38.21420488391181, -95.29332866882197	Anderson County	Kansas
37.23552305308814, -99.82030763467819	Clark County	Kansas
38.04321845609536, -97.4272717566581	Harvey County	Kansas
38.00019640424189, -101.31986085535691	Kearny County	Kansas
37.058492692426405, -88.99947510498261	Ballard County	Kentucky
28.084720307748334, -96.99143875073271	Aransas County	Texas
29.52751136865746, -95.77094980465493	Fort Bend County	Texas
28.867817518916553, -99.10826705388973	Frio County	Texas
32.48047064210528, -94.81694759274822	Gregg County	Texas
31.704803147884395, -98.11072598390764	Hamilton County	Texas
33.60764281538266, -102.34319736212134	Hockley County	Texas
30.715477776964967, -104.14001993220062	Jeff Davis County	Texas
33.67562661550414, -97.72465328037538	Montague County	Texas
35.83768731416208, -101.89292284316244	Moore County	Texas
40.99006692783443, -112.1113750627202	Davis County	Utah
37.37851786425179, -77.5869160124973	Chesterfield County	Virginia
37.937059122812435, -76.72968755245132	Richmond County	Virginia
46.29749829250317, -117.90784229613837	Columbia County	Washington
46.43155886745737, -117.54516922702491	Garfield County	Washington
47.62075260538888, -117.40397183080627	Spokane County	Washington
38.42029672926989, -82.24171698964993	Cabell County	West Virginia
38.68072835134143, -79.35089381385845	Pendleton County	West Virginia
43.41629495706328, -88.70750682487044	Dodge County	Wisconsin
45.899179120055834, -91.79123464546912	Washburn County	Wisconsin
44.45533127269448, -90.04154869274358	Wood County	Wisconsin
42.133053797820594, -104.96581564025381	Platte County	Wyoming
18.457831537436387, -65.90252318294377	Loíza Municipio	Puerto Rico
38.75686341895551, -84.8592056354389	Gallatin County	Kentucky
37.831145289911824, -83.82377407870787	Powell County	Kentucky
29.500102644937268, -90.40245398287271	Lafourche Parish	Louisiana
32.478392597498, -92.15490558330987	Ouachita Parish	Louisiana
30.82191769987089, -90.71032280276205	St. Helena Parish	Louisiana
44.33709295898663, -83.08530077112482	Iosco County	Michigan
43.640601515645194, -84.8467965870692	Isabella County	Michigan
44.3356086545575, -84.61159991023943	Roscommon County	Michigan
41.91441418747937, -85.52774461510832	St. Joseph County	Michigan
44.349859597078265, -94.24745064309128	Nicollet County	Minnesota
44.02299578199464, -96.25864627839432	Pipestone County	Minnesota
33.347306689185814, -89.24838117101875	Choctaw County	Mississippi
31.214224930620293, -88.63916300098809	Greene County	Mississippi
33.12351449685894, -90.09205063350369	Holmes County	Mississippi
30.76871050841211, -89.58975058334552	Pearl River County	Mississippi
35.49735061029197, -89.75658409326974	Tipton County	Tennessee
27.03157271142516, -98.21872128482596	Brooks County	Texas
28.43910911410699, -96.61507353226789	Calhoun County	Texas
33.593810065620225, -96.10682794738133	Fannin County	Texas
32.7407277426069, -102.63517385611179	Gaines County	Texas
32.30616947724152, -101.43550554051717	Howard County	Texas
30.06148364896165, -99.35015960430496	Kerr County	Texas
33.11348188726471, -94.73265043444053	Morris County	Texas
34.530112908988485, -102.78453888183336	Parmer County	Texas
31.83109533150249, -99.97623138501066	Runnels County	Texas
31.088815067088106, -95.1355108418575	Trinity County	Texas
39.64814457907233, -110.5887913802697	Carbon County	Utah
41.08931156641467, -111.57316430315545	Morgan County	Utah
41.63227464982988, -111.24450488941386	Rich County	Utah
40.11995017661683, -111.67030582193593	Utah County	Utah
44.829008753206594, -72.24364808454105	Orleans County	Vermont
37.572207735684565, -78.52870739350939	Buckingham County	Virginia
36.90672920545367, -76.70912647816483	Isle of Wight County	Virginia
37.31333775331983, -76.77386705670419	James City County	Virginia
36.67836355493931, -80.28427466779134	Patrick County	Virginia
36.714282868950974, -82.60292251010652	Scott County	Virginia
47.576216044348364, -118.41872905602582	Lincoln County	Washington
39.26917044481289, -80.70696608855636	Doddridge County	West Virginia
38.99586790512952, -80.50215931313814	Lewis County	West Virginia
37.83150819820627, -81.93532136721922	Logan County	West Virginia
39.370937642292624, -81.16062971914243	Pleasants County	West Virginia
44.73472480873055, -90.6120571818222	Clark County	Wisconsin
46.46410987346342, -91.89940243142168	Douglas County	Wisconsin
18.007119604252583, -66.79712943922065	Guayanilla Municipio	Puerto Rico
18.48305501705619, -67.01416151512929	Isabela Municipio	Puerto Rico
17.997218176849824, -66.4903711249863	Juana Díaz Municipio	Puerto Rico
18.457237809426402, -66.1905837522822	Toa Baja Municipio	Puerto Rico
36.41773106200862, -77.39682053347457	Northampton County	North Carolina
48.221720683821296, -101.54180585006365	Ward County	North Dakota
41.635059097857, -81.70019595839557	Cuyahoga County	Ohio
40.133224508029954, -84.61931852851662	Darke County	Ohio
41.317015687860966, -80.76127254890356	Trumbull County	Ohio
35.919338887003356, -97.44331724970694	Logan County	Oklahoma
43.18516206290502, -124.09331873027257	Coos County	Oregon
40.8519343765472, -76.70945188377398	Northumberland County	Pennsylvania
32.84342627363357, -80.64968431220552	Colleton County	South Carolina
32.77627637068689, -81.14070254318024	Hampton County	South Carolina
33.43899163535015, -80.80029996443511	Orangeburg County	South Carolina
43.1949168468142, -101.66398931420785	Bennett County	South Dakota
44.905840692183574, -103.50804046796597	Butte County	South Dakota
45.75867067039103, -97.5985005801544	Marshall County	South Dakota
45.62964353750026, -96.94611345992242	Roberts County	South Dakota
36.05098411950192, -83.44631158860007	Jefferson County	Tennessee
35.175453229609, -88.56363987614121	McNairy County	Tennessee
37.97637687071673, -91.30396138530236	Crawford County	Missouri
39.058019363779366, -90.96004534258252	Lincoln County	Missouri
38.161634808602386, -91.92488595595724	Maries County	Missouri
39.352343527220675, -93.9898729261716	Ray County	Missouri
48.432726158608766, -108.95857749288058	Blaine County	Montana
46.33242407874946, -111.49548654874634	Broadwater County	Montana
48.365350578933004, -106.66744877162215	Valley County	Montana
40.86993617847256, -99.8195655984462	Dawson County	Nebraska
40.78417349378875, -96.68775551073267	Lancaster County	Nebraska
40.17628562593932, -97.59491960415532	Thayer County	Nebraska
40.787210809430846, -74.24706607021025	Essex County	New Jersey
34.00718793899945, -106.93039916886856	Socorro County	New Mexico
42.248655157041426, -78.678827079627	Cattaraugus County	New York
41.42672094216541, -73.74951009542187	Putnam County	New York
43.10736861692215, -73.86391911397955	Saratoga County	New York
42.6334437620584, -77.1054492676239	Yates County	New York
35.74961072176234, -81.70477866749215	Burke County	North Carolina
35.70258176865697, -79.25530402738005	Chatham County	North Carolina
35.117686214927396, -77.08200555424605	Craven County	North Carolina
36.30406963137608, -78.65271947629181	Granville County	North Carolina
35.3324670427212, -79.90547911337624	Montgomery County	North Carolina
31.676659655205235, -87.83080986416664	Clarke County	Alabama
31.402627102630348, -85.98820698966932	Coffee County	Alabama
35.83872482443819, -111.77052125806028	Coconino County	Arizona
33.89837310083969, -92.18514162848035	Cleveland County	Arkansas
34.94754892889785, -92.9312470662581	Perry County	Arkansas
38.77873707340987, -120.52465116302912	El Dorado County	California
39.329785319075235, -104.92933734476551	Douglas County	Colorado
39.30544128895168, -102.60288741118154	Kit Carson County	Colorado
39.018290471948674, -108.46644009578652	Mesa County	Colorado
30.331071078245962, -82.28458716815062	Baker County	Florida
30.335440286250925, -81.64800936805591	Duval County	Florida
30.579468954076194, -84.61359902492406	Gadsden County	Florida
28.514448124910277, -81.3235291027985	Orange County	Florida
34.86411469474784, -84.31985262715847	Fannin County	Georgia
33.316433409397206, -83.6880896486654	Jasper County	Georgia
33.05484423469939, -82.4181511443845	Jefferson County	Georgia
32.568792007386065, -83.82686360494094	Peach County	Georgia
37.97084878754159, -84.1474051188489	Clark County	Kentucky
36.727481300178496, -85.1360131847527	Clinton County	Kentucky
38.04232157964666, -84.45873278551346	Fayette County	Kentucky
37.264109964251574, -85.55310600156727	Green County	Kentucky
38.93346301648846, -84.53331952501578	Kenton County	Kentucky
37.019129136108454, -88.08328262418863	Lyon County	Kentucky
30.12906960405754, -91.60825912331637	St. Martin Parish	Louisiana
44.02729876675273, -69.01554749806009	Knox County	Maine
39.603678915347686, -77.81400804060405	Washington County	Maryland
42.63891556924043, -70.86791962439254	Essex County	Massachusetts
43.292732646133004, -84.60491117091148	Gratiot County	Michigan
45.99893282374433, -85.00941663139251	Mackinac County	Michigan
45.02754490250952, -84.1272038339023	Montmorency County	Michigan
46.04247973794885, -86.17729452189654	Schoolcraft County	Michigan
44.41349176853394, -95.83897502566128	Lyon County	Minnesota
45.77218459209713, -96.47164145009742	Traverse County	Minnesota
44.71624985884141, -95.86835966307791	Yellow Medicine County	Minnesota
32.041401785271766, -88.68940465868658	Clarke County	Mississippi
32.232299068885425, -83.47596129824463	Pulaski County	Georgia
33.03351039322448, -85.0283369449125	Troup County	Georgia
32.117065307029776, -82.72459302499199	Wheeler County	Georgia
42.19496977884984, -112.53935650835663	Oneida County	Idaho
39.085474296274256, -90.35646437618293	Jersey County	Illinois
42.36581814721719, -90.21259518906993	Jo Daviess County	Illinois
39.23104617237978, -89.47884995064656	Montgomery County	Illinois
39.71555615993156, -90.20151950789894	Morgan County	Illinois
39.6414721101611, -88.61929534774512	Moultrie County	Illinois
39.75817417768929, -89.65891001043491	Sangamon County	Illinois
40.745659792699655, -84.936654760845	Adams County	Indiana
42.776467734521226, -94.20718313714713	Humboldt County	Iowa
39.53174004577452, -95.31344488066495	Atchison County	Kansas
37.453688094171504, -96.24408671760828	Elk County	Kansas
39.416820299999344, -95.79366385060945	Jackson County	Kansas
39.19933463673423, -95.0379116843683	Leavenworth County	Kansas
39.04151372812177, -95.75653432216373	Shawnee County	Kansas
37.258049020116765, -93.34199026511433	Greene County	Missouri
37.55514877530846, -90.77349028223678	Iron County	Missouri
36.64931255307768, -92.44467057199309	Ozark County	Missouri
37.270139937774616, -92.46870431381119	Wright County	Missouri
46.33399725909257, -104.41742382668176	Fallon County	Montana
40.52466633498878, -97.59650129174439	Fillmore County	Nebraska
41.56809562760848, -101.06041709893388	McPherson County	Nebraska
41.91358520731152, -100.5558863495782	Thomas County	Nebraska
39.1511204600436, -119.74755668904713	Carson City	Nevada
40.283437439191395, -74.70175213238261	Mercer County	New Jersey
36.508510701957114, -108.32060315434893	San Juan County	New Mexico
42.14125372446155, -76.76002196591193	Chemung County	New York
40.77401924458669, -73.9700078798369	New York County	New York
43.33611100974439, -78.77082482921881	Niagara County	New York
42.85284429696044, -77.2998156988815	Ontario County	New York
42.26781792493298, -77.3838025966191	Steuben County	New York
43.56095810341696, -73.84599844438475	Warren County	New York
35.55605558109123, -82.98217285964543	Haywood County	North Carolina
34.70983629533994, -77.41576598465274	Onslow County	North Carolina
48.77228669638754, -98.46483648573692	Cavalier County	North Dakota
46.81068257063777, -102.65508858508672	Stark County	North Dakota
39.01967207483767, -82.61838297782928	Jackson County	Ohio
43.28534610444012, -123.17955676785452	Douglas County	Oregon
45.51906269576519, -121.65116306541007	Hood River County	Oregon
40.00654799741663, -78.49031272787005	Bedford County	Pennsylvania
41.788657698111, -76.51542177886539	Bradford County	Pennsylvania
41.425121210985296, -78.6490721222382	Elk County	Pennsylvania
34.39158317566273, -79.37889874539769	Dillon County	South Carolina
33.89948794961512, -82.30998205354018	McCormick County	South Carolina
34.974810466995656, -81.18443867245557	York County	South Carolina
43.71801949740739, -98.5615628049354	Aurora County	South Dakota
45.41879686997038, -99.21532605906248	Edmunds County	South Dakota
43.67431084946398, -97.36844313255548	McCook County	South Dakota
43.335580368527445, -102.55161750422191	Oglala Lakota County	South Dakota
35.993206394781694, -83.93709038989965	Knox County	Tennessee
36.33538447938466, -89.49346684077841	Lake County	Tennessee
36.532034387783725, -86.00727069117985	Macon County	Tennessee
33.26908584036302, -85.86054711458617	Clay County	Alabama
31.126122498454823, -87.16161976535372	Escambia County	Alabama
34.44167057638576, -87.84381198721472	Franklin County	Alabama
34.90137246661152, -87.65399778655163	Lauderdale County	Alabama
62.16001270099966, -163.52546476952332	Kusilvak Census Area	Alaska
56.29362643295629, -132.1292248805523	Wrangell City and Borough	Alaska
33.19120472118053, -91.76845408159448	Ashley County	Arkansas
33.466425882605094, -92.16235941137506	Bradley County	Arkansas
35.198931362924824, -94.27430705730427	Sebastian County	Arkansas
37.581522382774295, -119.905517170759	Mariposa County	California
38.108677933164316, -105.36747172355614	Custer County	Colorado
39.62782557736937, -106.69529927940113	Eagle County	Colorado
38.08055281293812, -106.28155565090799	Saguache County	Colorado
29.725822590629505, -82.80036666150173	Gilchrist County	Florida
