"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	Count	Population	Age-Adjusted Rate
	"All Invasive Cancer Sites Combined"	"0"	"Wisconsin"	"55"	35263	5824581	468.7
	"All Invasive Cancer Sites Combined"	"0"	"Wyoming"	"56"	3027	580116	415.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	780	4907965	12.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	105	733603	13.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	845	7291843	9.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Arkansas"	"05"	555	3020985	14.7
	"Oral Cavity and Pharynx"	"20010-20100"	"California"	"06"	4591	39437610	10.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Colorado"	"08"	723	5758486	10.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Connecticut"	"09"	603	3566022	12.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Delaware"	"10"	177	976668	13.4
	"Oral Cavity and Pharynx"	"20010-20100"	"District of Columbia"	"11"	78	708253	11.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Florida"	"12"	4123	21492056	13.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Georgia"	"13"	1546	10628020	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Hawaii"	"15"	229	1415615	12.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Idaho"	"16"	260	1789060	11.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Illinois"	"17"	1867	12667017	11.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Indiana"	"18"	936	6731010	11.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Iowa"	"19"	630	3159596	15.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	408	2912635	11.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Kentucky"	"21"	803	4472345	14.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Louisiana"	"22"	735	4658285	12.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Maine"	"23"	284	1345770	14.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Maryland"	"24"	822	6054954	10.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Massachusetts"	"25"	952	6894883	10.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Michigan"	"26"	1511	9984795	11.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Minnesota"	"27"	791	5640053	11.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Mississippi"	"28"	459	2978227	12.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Missouri"	"29"	937	6140475	11.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Montana"	"30"	157	1070123	10.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Nebraska"	"31"	272	1932571	11.8
	"Oral Cavity and Pharynx"	"20010-20100"	"New Hampshire"	"33"	234	1360783	11.9
	"Oral Cavity and Pharynx"	"20010-20100"	"New Jersey"	"34"	1314	8891258	11.5
	"Oral Cavity and Pharynx"	"20010-20100"	"New Mexico"	"35"	242	2099634	9.2
	"Oral Cavity and Pharynx"	"20010-20100"	"New York"	"36"	2872	19463131	11.6
	"Oral Cavity and Pharynx"	"20010-20100"	"North Carolina"	"37"	1693	10501384	12.7
	"Oral Cavity and Pharynx"	"20010-20100"	"North Dakota"	"38"	107	763724	11.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Ohio"	"39"	1946	11696507	12.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Oklahoma"	"40"	686	3960676	14.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Oregon"	"41"	666	4216116	12.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Pennsylvania"	"42"	2151	12798883	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Rhode Island"	"44"	168	1058158	12.0
	"Oral Cavity and Pharynx"	"20010-20100"	"South Carolina"	"45"	823	5157702	12.1
	"Oral Cavity and Pharynx"	"20010-20100"	"South Dakota"	"46"	116	887127	10.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Tennessee"	"47"	1062	6830325	12.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Texas"	"48"	3440	28986794	11.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Utah"	"49"	281	3203383	9.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Vermont"	"50"	120	624046	13.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Virginia"	"51"	1171	8556642	11.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Washington"	"53"	1128	7614024	12.3
	"Oral Cavity and Pharynx"	"20010-20100"	"West Virginia"	"54"	330	1795263	13.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Wisconsin"	"55"	1007	5824581	13.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Wyoming"	"56"	77	580116	10.7
	"Lip"	"20010"	"Alabama"	"01"	31	4907965	0.5
	"Lip"	"20010"	"Arizona"	"04"	19	7291843	0.2
	"Lip"	"20010"	"Arkansas"	"05"	28	3020985	0.7
	"Lip"	"20010"	"California"	"06"	241	39437610	0.5
	"Lip"	"20010"	"Colorado"	"08"	50	5758486	0.8
	"Lip"	"20010"	"Florida"	"12"	77	21492056	0.3
	"Lip"	"20010"	"Georgia"	"13"	31	10628020	0.2
	"Lip"	"20010"	"Illinois"	"17"	50	12667017	0.3
	"Lip"	"20010"	"Indiana"	"18"	23	6731010	0.3
	"Lip"	"20010"	"Iowa"	"19"	38	3159596	0.9
	"Lip"	"20010"	"Kansas"	"20"	23	2912635	0.7
	"Lip"	"20010"	"Kentucky"	"21"	35	4472345	0.6
	"Lip"	"20010"	"Louisiana"	"22"	28	4658285	0.5
	"Lip"	"20010"	"Maryland"	"24"	40	6054954	0.5
	"Lip"	"20010"	"Massachusetts"	"25"	19	6894883	0.2
	"Lip"	"20010"	"Michigan"	"26"	56	9984795	0.4
	"Lip"	"20010"	"Minnesota"	"27"	45	5640053	0.6
	"Lip"	"20010"	"Missouri"	"29"	21	6140475	0.3
	"Lip"	"20010"	"Nebraska"	"31"	25	1932571	1.1
	"Lip"	"20010"	"New Jersey"	"34"	36	8891258	0.3
	"Lip"	"20010"	"New Mexico"	"35"	20	2099634	0.8
	"Lip"	"20010"	"New York"	"36"	83	19463131	0.3
	"Lip"	"20010"	"North Carolina"	"37"	50	10501384	0.4
	"Lip"	"20010"	"North Dakota"	"38"	16	763724	1.6
	"Lip"	"20010"	"Ohio"	"39"	31	11696507	0.2
	"Lip"	"20010"	"Oklahoma"	"40"	59	3960676	1.3
	"Lip"	"20010"	"Oregon"	"41"	20	4216116	0.4
	"Lip"	"20010"	"Pennsylvania"	"42"	62	12798883	0.3
	"Lip"	"20010"	"Tennessee"	"47"	26	6830325	0.3
	"Lip"	"20010"	"Texas"	"48"	74	28986794	0.3
	"Lip"	"20010"	"Utah"	"49"	33	3203383	1.2
	"Lip"	"20010"	"Virginia"	"51"	28	8556642	0.3
	"Lip"	"20010"	"Washington"	"53"	84	7614024	0.9
	"Lip"	"20010"	"Wisconsin"	"55"	67	5824581	0.9
	"Tongue"	"20020"	"Alabama"	"01"	238	4907965	3.7
	"Tongue"	"20020"	"Alaska"	"02"	31	733603	3.8
	"Tongue"	"20020"	"Arizona"	"04"	327	7291843	3.4
	"Tongue"	"20020"	"Arkansas"	"05"	183	3020985	4.8
	"Tongue"	"20020"	"California"	"06"	1488	39437610	3.2
	"Tongue"	"20020"	"Colorado"	"08"	265	5758486	3.9
	"Tongue"	"20020"	"Connecticut"	"09"	197	3566022	4.1
	"Tongue"	"20020"	"Delaware"	"10"	52	976668	3.8
	"Tongue"	"20020"	"District of Columbia"	"11"	26	708253	3.9
	"Tongue"	"20020"	"Florida"	"12"	1416	21492056	4.5
	"Tongue"	"20020"	"Georgia"	"13"	461	10628020	3.7
	"Tongue"	"20020"	"Hawaii"	"15"	69	1415615	3.6
	"Tongue"	"20020"	"Idaho"	"16"	97	1789060	4.3
	"Tongue"	"20020"	"Illinois"	"17"	559	12667017	3.5
	"Tongue"	"20020"	"Indiana"	"18"	324	6731010	3.9
	"Tongue"	"20020"	"Iowa"	"19"	191	3159596	4.7
	"Tongue"	"20020"	"Kansas"	"20"	135	2912635	3.7
	"Tongue"	"20020"	"Kentucky"	"21"	239	4472345	4.2
	"Tongue"	"20020"	"Louisiana"	"22"	212	4658285	3.6
	"Tongue"	"20020"	"Maine"	"23"	90	1345770	4.2
	"Tongue"	"20020"	"Maryland"	"24"	249	6054954	3.2
	"Tongue"	"20020"	"Massachusetts"	"25"	287	6894883	3.1
	"Tongue"	"20020"	"Michigan"	"26"	484	9984795	3.7
	"Tongue"	"20020"	"Minnesota"	"27"	262	5640053	3.7
	"Tongue"	"20020"	"Mississippi"	"28"	129	2978227	3.4
	"Tongue"	"20020"	"Missouri"	"29"	331	6140475	4.2
	"Tongue"	"20020"	"Montana"	"30"	53	1070123	3.4
	"Tongue"	"20020"	"Nebraska"	"31"	89	1932571	3.9
	"Tongue"	"20020"	"New Hampshire"	"33"	78	1360783	3.9
	"Tongue"	"20020"	"New Jersey"	"34"	451	8891258	3.9
	"Tongue"	"20020"	"New Mexico"	"35"	76	2099634	2.8
	"Tongue"	"20020"	"New York"	"36"	922	19463131	3.7
	"Tongue"	"20020"	"North Carolina"	"37"	530	10501384	3.9
	"Tongue"	"20020"	"North Dakota"	"38"	37	763724	4.1
	"Tongue"	"20020"	"Ohio"	"39"	662	11696507	4.3
	"Tongue"	"20020"	"Oklahoma"	"40"	199	3960676	4.2
	"Tongue"	"20020"	"Oregon"	"41"	224	4216116	3.9
	"Tongue"	"20020"	"Pennsylvania"	"42"	719	12798883	4.2
	"Tongue"	"20020"	"Rhode Island"	"44"	51	1058158	3.5
	"Tongue"	"20020"	"South Carolina"	"45"	253	5157702	3.7
	"Tongue"	"20020"	"South Dakota"	"46"	36	887127	3.4
	"Tongue"	"20020"	"Tennessee"	"47"	331	6830325	3.7
	"Tongue"	"20020"	"Texas"	"48"	1100	28986794	3.5
	"Tongue"	"20020"	"Utah"	"49"	86	3203383	2.9
	"Tongue"	"20020"	"Vermont"	"50"	44	624046	4.9
	"Tongue"	"20020"	"Virginia"	"51"	369	8556642	3.4
	"Tongue"	"20020"	"Washington"	"53"	403	7614024	4.3
	"Tongue"	"20020"	"West Virginia"	"54"	97	1795263	3.8
	"Tongue"	"20020"	"Wisconsin"	"55"	317	5824581	4.2
	"Tongue"	"20020"	"Wyoming"	"56"	32	580116	4.5
	"Salivary Gland"	"20030"	"Alabama"	"01"	83	4907965	1.4
	"Salivary Gland"	"20030"	"Arizona"	"04"	94	7291843	1.1
	"Salivary Gland"	"20030"	"Arkansas"	"05"	50	3020985	1.4
	"Salivary Gland"	"20030"	"California"	"06"	521	39437610	1.2
	"Salivary Gland"	"20030"	"Colorado"	"08"	92	5758486	1.5
	"Salivary Gland"	"20030"	"Connecticut"	"09"	59	3566022	1.4
	"Salivary Gland"	"20030"	"Florida"	"12"	358	21492056	1.2
	"Salivary Gland"	"20030"	"Georgia"	"13"	184	10628020	1.6
	"Salivary Gland"	"20030"	"Hawaii"	"15"	27	1415615	1.5
	"Salivary Gland"	"20030"	"Idaho"	"16"	28	1789060	1.4
	"Salivary Gland"	"20030"	"Illinois"	"17"	208	12667017	1.4
	"Salivary Gland"	"20030"	"Indiana"	"18"	89	6731010	1.1
	"Salivary Gland"	"20030"	"Iowa"	"19"	62	3159596	1.5
	"Salivary Gland"	"20030"	"Kansas"	"20"	47	2912635	1.3
	"Salivary Gland"	"20030"	"Kentucky"	"21"	59	4472345	1.1
	"Salivary Gland"	"20030"	"Louisiana"	"22"	65	4658285	1.2
	"Salivary Gland"	"20030"	"Maine"	"23"	23	1345770	1.1
	"Salivary Gland"	"20030"	"Maryland"	"24"	87	6054954	1.2
	"Salivary Gland"	"20030"	"Massachusetts"	"25"	99	6894883	1.2
	"Salivary Gland"	"20030"	"Michigan"	"26"	126	9984795	1.0
	"Salivary Gland"	"20030"	"Minnesota"	"27"	57	5640053	0.8
	"Salivary Gland"	"20030"	"Mississippi"	"28"	40	2978227	1.2
	"Salivary Gland"	"20030"	"Missouri"	"29"	73	6140475	0.9
	"Salivary Gland"	"20030"	"Nebraska"	"31"	23	1932571	1.0
	"Salivary Gland"	"20030"	"New Hampshire"	"33"	21	1360783	1.2
	"Salivary Gland"	"20030"	"New Jersey"	"34"	151	8891258	1.4
	"Salivary Gland"	"20030"	"New Mexico"	"35"	28	2099634	1.1
	"Salivary Gland"	"20030"	"New York"	"36"	349	19463131	1.5
	"Salivary Gland"	"20030"	"North Carolina"	"37"	177	10501384	1.4
	"Salivary Gland"	"20030"	"Ohio"	"39"	183	11696507	1.3
	"Salivary Gland"	"20030"	"Oklahoma"	"40"	76	3960676	1.6
	"Salivary Gland"	"20030"	"Oregon"	"41"	65	4216116	1.2
	"Salivary Gland"	"20030"	"Pennsylvania"	"42"	226	12798883	1.4
	"Salivary Gland"	"20030"	"Rhode Island"	"44"	17	1058158	1.3
	"Salivary Gland"	"20030"	"South Carolina"	"45"	82	5157702	1.3
	"Salivary Gland"	"20030"	"Tennessee"	"47"	93	6830325	1.1
	"Salivary Gland"	"20030"	"Texas"	"48"	362	28986794	1.2
	"Salivary Gland"	"20030"	"Utah"	"49"	36	3203383	1.3
	"Salivary Gland"	"20030"	"Virginia"	"51"	114	8556642	1.1
	"Salivary Gland"	"20030"	"Washington"	"53"	105	7614024	1.2
	"Salivary Gland"	"20030"	"West Virginia"	"54"	30	1795263	1.3
	"Salivary Gland"	"20030"	"Wisconsin"	"55"	104	5824581	1.4
	"Floor of Mouth"	"20040"	"Alabama"	"01"	32	4907965	0.5
	"Floor of Mouth"	"20040"	"Arizona"	"04"	33	7291843	0.4
	"Floor of Mouth"	"20040"	"Arkansas"	"05"	18	3020985	0.5
	"Floor of Mouth"	"20040"	"California"	"06"	130	39437610	0.3
	"Floor of Mouth"	"20040"	"Colorado"	"08"	22	5758486	0.3
	"Floor of Mouth"	"20040"	"Connecticut"	"09"	23	3566022	0.5
	"Floor of Mouth"	"20040"	"Florida"	"12"	161	21492056	0.5
	"Floor of Mouth"	"20040"	"Georgia"	"13"	65	10628020	0.5
	"Floor of Mouth"	"20040"	"Illinois"	"17"	77	12667017	0.5
	"Floor of Mouth"	"20040"	"Indiana"	"18"	47	6731010	0.6
	"Floor of Mouth"	"20040"	"Iowa"	"19"	22	3159596	0.6
	"Floor of Mouth"	"20040"	"Kansas"	"20"	17	2912635	0.4
	"Floor of Mouth"	"20040"	"Kentucky"	"21"	46	4472345	0.8
	"Floor of Mouth"	"20040"	"Louisiana"	"22"	41	4658285	0.7
	"Floor of Mouth"	"20040"	"Maryland"	"24"	27	6054954	0.4
	"Floor of Mouth"	"20040"	"Massachusetts"	"25"	50	6894883	0.5
	"Floor of Mouth"	"20040"	"Michigan"	"26"	81	9984795	0.6
	"Floor of Mouth"	"20040"	"Minnesota"	"27"	37	5640053	0.5
	"Floor of Mouth"	"20040"	"Mississippi"	"28"	22	2978227	0.6
	"Floor of Mouth"	"20040"	"Missouri"	"29"	34	6140475	0.4
	"Floor of Mouth"	"20040"	"New Jersey"	"34"	40	8891258	0.3
	"Floor of Mouth"	"20040"	"New York"	"36"	123	19463131	0.5
	"Floor of Mouth"	"20040"	"North Carolina"	"37"	57	10501384	0.4
	"Floor of Mouth"	"20040"	"Ohio"	"39"	106	11696507	0.7
	"Floor of Mouth"	"20040"	"Oklahoma"	"40"	22	3960676	0.5
	"Floor of Mouth"	"20040"	"Oregon"	"41"	34	4216116	0.7
	"Floor of Mouth"	"20040"	"Pennsylvania"	"42"	95	12798883	0.5
	"Floor of Mouth"	"20040"	"South Carolina"	"45"	39	5157702	0.6
	"Floor of Mouth"	"20040"	"Tennessee"	"47"	40	6830325	0.4
	"Floor of Mouth"	"20040"	"Texas"	"48"	109	28986794	0.4
	"Floor of Mouth"	"20040"	"Virginia"	"51"	49	8556642	0.4
	"Floor of Mouth"	"20040"	"Washington"	"53"	43	7614024	0.4
	"Floor of Mouth"	"20040"	"Wisconsin"	"55"	44	5824581	0.6
	"Gum and Other Mouth"	"20050"	"Alabama"	"01"	116	4907965	1.9
	"Gum and Other Mouth"	"20050"	"Alaska"	"02"	18	733603	2.6
	"Gum and Other Mouth"	"20050"	"Arizona"	"04"	102	7291843	1.1
	"Gum and Other Mouth"	"20050"	"Arkansas"	"05"	72	3020985	1.8
	"Gum and Other Mouth"	"20050"	"California"	"06"	583	39437610	1.3
	"Gum and Other Mouth"	"20050"	"Colorado"	"08"	68	5758486	1.1
	"Gum and Other Mouth"	"20050"	"Connecticut"	"09"	105	3566022	2.1
	"Gum and Other Mouth"	"20050"	"Delaware"	"10"	19	976668	1.6
	"Gum and Other Mouth"	"20050"	"Florida"	"12"	458	21492056	1.5
	"Gum and Other Mouth"	"20050"	"Georgia"	"13"	244	10628020	2.0
	"Gum and Other Mouth"	"20050"	"Hawaii"	"15"	38	1415615	2.1
	"Gum and Other Mouth"	"20050"	"Idaho"	"16"	33	1789060	1.5
	"Gum and Other Mouth"	"20050"	"Illinois"	"17"	275	12667017	1.7
	"Gum and Other Mouth"	"20050"	"Indiana"	"18"	121	6731010	1.5
	"Gum and Other Mouth"	"20050"	"Iowa"	"19"	108	3159596	2.7
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	59	2912635	1.7
	"Gum and Other Mouth"	"20050"	"Kentucky"	"21"	115	4472345	2.1
	"Gum and Other Mouth"	"20050"	"Louisiana"	"22"	113	4658285	2.0
	"Gum and Other Mouth"	"20050"	"Maine"	"23"	32	1345770	1.8
	"Gum and Other Mouth"	"20050"	"Maryland"	"24"	135	6054954	1.8
	"Gum and Other Mouth"	"20050"	"Massachusetts"	"25"	119	6894883	1.4
	"Gum and Other Mouth"	"20050"	"Michigan"	"26"	201	9984795	1.5
	"Gum and Other Mouth"	"20050"	"Minnesota"	"27"	106	5640053	1.5
	"Gum and Other Mouth"	"20050"	"Mississippi"	"28"	76	2978227	2.1
	"Gum and Other Mouth"	"20050"	"Missouri"	"29"	120	6140475	1.5
	"Gum and Other Mouth"	"20050"	"Montana"	"30"	20	1070123	1.4
	"Gum and Other Mouth"	"20050"	"Nebraska"	"31"	38	1932571	1.5
	"Gum and Other Mouth"	"20050"	"New Hampshire"	"33"	30	1360783	1.5
	"Gum and Other Mouth"	"20050"	"New Jersey"	"34"	186	8891258	1.7
	"Gum and Other Mouth"	"20050"	"New Mexico"	"35"	23	2099634	0.9
	"Gum and Other Mouth"	"20050"	"New York"	"36"	415	19463131	1.7
	"Gum and Other Mouth"	"20050"	"North Carolina"	"37"	241	10501384	1.8
	"Gum and Other Mouth"	"20050"	"Ohio"	"39"	263	11696507	1.8
	"Gum and Other Mouth"	"20050"	"Oklahoma"	"40"	104	3960676	2.2
	"Gum and Other Mouth"	"20050"	"Oregon"	"41"	77	4216116	1.4
	"Gum and Other Mouth"	"20050"	"Pennsylvania"	"42"	315	12798883	1.8
	"Gum and Other Mouth"	"20050"	"Rhode Island"	"44"	25	1058158	1.7
	"Gum and Other Mouth"	"20050"	"South Carolina"	"45"	113	5157702	1.7
	"Gum and Other Mouth"	"20050"	"South Dakota"	"46"	16	887127	1.2
	"Gum and Other Mouth"	"20050"	"Tennessee"	"47"	142	6830325	1.7
	"Gum and Other Mouth"	"20050"	"Texas"	"48"	445	28986794	1.5
	"Gum and Other Mouth"	"20050"	"Utah"	"49"	33	3203383	1.1
	"Gum and Other Mouth"	"20050"	"Vermont"	"50"	19	624046	2.1
	"Gum and Other Mouth"	"20050"	"Virginia"	"51"	161	8556642	1.5
	"Gum and Other Mouth"	"20050"	"Washington"	"53"	142	7614024	1.6
	"Gum and Other Mouth"	"20050"	"West Virginia"	"54"	44	1795263	1.7
	"Gum and Other Mouth"	"20050"	"Wisconsin"	"55"	136	5824581	1.7
	"Nasopharynx"	"20060"	"Alabama"	"01"	25	4907965	0.4
	"Nasopharynx"	"20060"	"Arizona"	"04"	31	7291843	0.4
	"Nasopharynx"	"20060"	"California"	"06"	300	39437610	0.7
	"Nasopharynx"	"20060"	"Connecticut"	"09"	26	3566022	0.6
	"Nasopharynx"	"20060"	"Florida"	"12"	150	21492056	0.5
	"Nasopharynx"	"20060"	"Georgia"	"13"	61	10628020	0.5
	"Nasopharynx"	"20060"	"Hawaii"	"15"	22	1415615	1.5
	"Nasopharynx"	"20060"	"Illinois"	"17"	64	12667017	0.4
	"Nasopharynx"	"20060"	"Indiana"	"18"	32	6731010	0.4
	"Nasopharynx"	"20060"	"Iowa"	"19"	18	3159596	0.4
	"Nasopharynx"	"20060"	"Kentucky"	"21"	27	4472345	0.5
	"Nasopharynx"	"20060"	"Louisiana"	"22"	35	4658285	0.6
	"Nasopharynx"	"20060"	"Maryland"	"24"	23	6054954	0.3
	"Nasopharynx"	"20060"	"Massachusetts"	"25"	36	6894883	0.4
	"Nasopharynx"	"20060"	"Michigan"	"26"	41	9984795	0.3
	"Nasopharynx"	"20060"	"Minnesota"	"27"	33	5640053	0.5
	"Nasopharynx"	"20060"	"Mississippi"	"28"	23	2978227	0.7
	"Nasopharynx"	"20060"	"Missouri"	"29"	24	6140475	0.3
	"Nasopharynx"	"20060"	"New Jersey"	"34"	49	8891258	0.5
	"Nasopharynx"	"20060"	"New York"	"36"	182	19463131	0.8
	"Nasopharynx"	"20060"	"North Carolina"	"37"	65	10501384	0.5
	"Nasopharynx"	"20060"	"Ohio"	"39"	55	11696507	0.4
	"Nasopharynx"	"20060"	"Oklahoma"	"40"	21	3960676	0.5
	"Nasopharynx"	"20060"	"Pennsylvania"	"42"	78	12798883	0.5
	"Nasopharynx"	"20060"	"South Carolina"	"45"	33	5157702	0.5
	"Nasopharynx"	"20060"	"Tennessee"	"47"	30	6830325	0.4
	"Nasopharynx"	"20060"	"Texas"	"48"	140	28986794	0.5
	"Nasopharynx"	"20060"	"Virginia"	"51"	45	8556642	0.5
	"Nasopharynx"	"20060"	"Washington"	"53"	30	7614024	0.4
	"Nasopharynx"	"20060"	"Wisconsin"	"55"	21	5824581	0.3
	"Tonsil"	"20070"	"Alabama"	"01"	136	4907965	2.2
	"Tonsil"	"20070"	"Alaska"	"02"	19	733603	2.4
	"Tonsil"	"20070"	"Arizona"	"04"	154	7291843	1.7
	"Tonsil"	"20070"	"Arkansas"	"05"	122	3020985	3.3
	"Tonsil"	"20070"	"California"	"06"	856	39437610	1.8
	"Tonsil"	"20070"	"Colorado"	"08"	132	5758486	2.0
	"Tonsil"	"20070"	"Connecticut"	"09"	112	3566022	2.2
	"Tonsil"	"20070"	"Delaware"	"10"	60	976668	4.7
	"Tonsil"	"20070"	"Florida"	"12"	811	21492056	2.7
	"Tonsil"	"20070"	"Georgia"	"13"	302	10628020	2.4
	"Tonsil"	"20070"	"Hawaii"	"15"	28	1415615	1.5
	"Tonsil"	"20070"	"Idaho"	"16"	37	1789060	1.8
	"Tonsil"	"20070"	"Illinois"	"17"	360	12667017	2.3
	"Tonsil"	"20070"	"Indiana"	"18"	189	6731010	2.3
	"Tonsil"	"20070"	"Iowa"	"19"	127	3159596	3.3
	"Tonsil"	"20070"	"Kansas"	"20"	76	2912635	2.2
	"Tonsil"	"20070"	"Kentucky"	"21"	181	4472345	3.2
