"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	Count	Population	Age-Adjusted Rate
	"All Invasive Cancer Sites Combined"	"0"	"Washington"	"53"	38200	7427951	443.3
	"All Invasive Cancer Sites Combined"	"0"	"West Virginia"	"54"	12432	1818683	494.3
	"All Invasive Cancer Sites Combined"	"0"	"Wisconsin"	"55"	34146	5793147	470.7
	"All Invasive Cancer Sites Combined"	"0"	"Wyoming"	"56"	2889	579994	413.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	807	4877989	13.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	88	740983	11.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	795	7048088	9.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Arkansas"	"05"	513	3003855	13.6
	"Oral Cavity and Pharynx"	"20010-20100"	"California"	"06"	4424	39337785	10.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Colorado"	"08"	683	5617421	10.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Connecticut"	"09"	561	3575324	12.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Delaware"	"10"	141	957942	11.0
	"Oral Cavity and Pharynx"	"20010-20100"	"District of Columbia"	"11"	85	697079	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Florida"	"12"	4111	20977089	14.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Georgia"	"13"	1421	10417031	12.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Hawaii"	"15"	220	1425763	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Idaho"	"16"	243	1719745	11.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Illinois"	"17"	1928	12779893	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Indiana"	"18"	1073	6662068	13.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Iowa"	"19"	531	3143734	13.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	399	2910892	11.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Kentucky"	"21"	742	4455590	13.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Louisiana"	"22"	726	4673673	13.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Maine"	"23"	283	1335743	15.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Maryland"	"24"	869	6028186	11.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Massachusetts"	"25"	1053	6863560	12.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Michigan"	"26"	1530	9976752	12.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Minnesota"	"27"	889	5569283	13.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Mississippi"	"28"	506	2990674	14.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Missouri"	"29"	1043	6111382	13.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Montana"	"30"	176	1053862	13.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Nebraska"	"31"	307	1916998	13.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Nevada"	"32"	414	2972097	11.7
	"Oral Cavity and Pharynx"	"20010-20100"	"New Hampshire"	"33"	212	1350395	11.8
	"Oral Cavity and Pharynx"	"20010-20100"	"New Jersey"	"34"	1333	8888147	12.0
	"Oral Cavity and Pharynx"	"20010-20100"	"New Mexico"	"35"	227	2092844	8.8
	"Oral Cavity and Pharynx"	"20010-20100"	"New York"	"36"	2747	19593849	11.3
	"Oral Cavity and Pharynx"	"20010-20100"	"North Carolina"	"37"	1591	10275758	12.6
	"Oral Cavity and Pharynx"	"20010-20100"	"North Dakota"	"38"	109	756755	13.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Ohio"	"39"	1858	11665706	12.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Oklahoma"	"40"	556	3933602	12.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Oregon"	"41"	672	4147294	12.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Pennsylvania"	"42"	2107	12794679	12.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Rhode Island"	"44"	180	1056554	12.7
	"Oral Cavity and Pharynx"	"20010-20100"	"South Carolina"	"45"	841	5027102	13.0
	"Oral Cavity and Pharynx"	"20010-20100"	"South Dakota"	"46"	138	873732	13.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Tennessee"	"47"	1117	6714748	13.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Texas"	"48"	3234	28291024	11.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Utah"	"49"	244	3103540	8.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Vermont"	"50"	115	625132	12.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Virginia"	"51"	1130	8471011	11.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Washington"	"53"	1091	7427951	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"West Virginia"	"54"	352	1818683	14.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Wisconsin"	"55"	899	5793147	12.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Wyoming"	"56"	86	579994	12.3
	"Lip"	"20010"	"Alabama"	"01"	66	4877989	1.1
	"Lip"	"20010"	"Arizona"	"04"	22	7048088	0.3
	"Lip"	"20010"	"Arkansas"	"05"	19	3003855	0.5
	"Lip"	"20010"	"California"	"06"	260	39337785	0.6
	"Lip"	"20010"	"Colorado"	"08"	43	5617421	0.7
	"Lip"	"20010"	"Florida"	"12"	86	20977089	0.3
	"Lip"	"20010"	"Georgia"	"13"	41	10417031	0.4
	"Lip"	"20010"	"Idaho"	"16"	37	1719745	1.9
	"Lip"	"20010"	"Illinois"	"17"	76	12779893	0.5
	"Lip"	"20010"	"Indiana"	"18"	46	6662068	0.6
	"Lip"	"20010"	"Iowa"	"19"	49	3143734	1.3
	"Lip"	"20010"	"Kentucky"	"21"	50	4455590	0.9
	"Lip"	"20010"	"Louisiana"	"22"	31	4673673	0.6
	"Lip"	"20010"	"Maine"	"23"	30	1335743	1.6
	"Lip"	"20010"	"Maryland"	"24"	19	6028186	0.3
	"Lip"	"20010"	"Massachusetts"	"25"	29	6863560	0.4
	"Lip"	"20010"	"Michigan"	"26"	34	9976752	0.3
	"Lip"	"20010"	"Minnesota"	"27"	82	5569283	1.3
	"Lip"	"20010"	"Missouri"	"29"	31	6111382	0.4
	"Lip"	"20010"	"Nebraska"	"31"	33	1916998	1.6
	"Lip"	"20010"	"New Jersey"	"34"	42	8888147	0.4
	"Lip"	"20010"	"New York"	"36"	98	19593849	0.4
	"Lip"	"20010"	"North Carolina"	"37"	61	10275758	0.5
	"Lip"	"20010"	"Ohio"	"39"	30	11665706	0.2
	"Lip"	"20010"	"Oklahoma"	"40"	41	3933602	0.9
	"Lip"	"20010"	"Oregon"	"41"	27	4147294	0.5
	"Lip"	"20010"	"Pennsylvania"	"42"	92	12794679	0.5
	"Lip"	"20010"	"South Carolina"	"45"	25	5027102	0.4
	"Lip"	"20010"	"South Dakota"	"46"	17	873732	1.6
	"Lip"	"20010"	"Tennessee"	"47"	34	6714748	0.4
	"Lip"	"20010"	"Texas"	"48"	91	28291024	0.3
	"Lip"	"20010"	"Utah"	"49"	16	3103540	0.6
	"Lip"	"20010"	"Virginia"	"51"	32	8471011	0.3
	"Lip"	"20010"	"Washington"	"53"	91	7427951	1.1
	"Lip"	"20010"	"Wisconsin"	"55"	44	5793147	0.6
	"Tongue"	"20020"	"Alabama"	"01"	243	4877989	3.9
	"Tongue"	"20020"	"Alaska"	"02"	32	740983	4.2
	"Tongue"	"20020"	"Arizona"	"04"	264	7048088	3.0
	"Tongue"	"20020"	"Arkansas"	"05"	161	3003855	4.3
	"Tongue"	"20020"	"California"	"06"	1472	39337785	3.3
	"Tongue"	"20020"	"Colorado"	"08"	233	5617421	3.6
	"Tongue"	"20020"	"Connecticut"	"09"	187	3575324	3.9
	"Tongue"	"20020"	"Delaware"	"10"	49	957942	3.7
	"Tongue"	"20020"	"District of Columbia"	"11"	28	697079	4.2
	"Tongue"	"20020"	"Florida"	"12"	1324	20977089	4.4
	"Tongue"	"20020"	"Georgia"	"13"	451	10417031	3.8
	"Tongue"	"20020"	"Hawaii"	"15"	71	1425763	4.2
	"Tongue"	"20020"	"Idaho"	"16"	80	1719745	4.0
	"Tongue"	"20020"	"Illinois"	"17"	637	12779893	4.1
	"Tongue"	"20020"	"Indiana"	"18"	378	6662068	4.7
	"Tongue"	"20020"	"Iowa"	"19"	167	3143734	4.1
	"Tongue"	"20020"	"Kansas"	"20"	119	2910892	3.4
	"Tongue"	"20020"	"Kentucky"	"21"	216	4455590	3.8
	"Tongue"	"20020"	"Louisiana"	"22"	220	4673673	4.0
	"Tongue"	"20020"	"Maine"	"23"	81	1335743	4.3
	"Tongue"	"20020"	"Maryland"	"24"	303	6028186	4.1
	"Tongue"	"20020"	"Massachusetts"	"25"	341	6863560	3.9
	"Tongue"	"20020"	"Michigan"	"26"	488	9976752	3.8
	"Tongue"	"20020"	"Minnesota"	"27"	293	5569283	4.3
	"Tongue"	"20020"	"Mississippi"	"28"	121	2990674	3.3
	"Tongue"	"20020"	"Missouri"	"29"	320	6111382	4.1
	"Tongue"	"20020"	"Montana"	"30"	69	1053862	5.1
	"Tongue"	"20020"	"Nebraska"	"31"	82	1916998	3.5
	"Tongue"	"20020"	"Nevada"	"32"	154	2972097	4.4
	"Tongue"	"20020"	"New Hampshire"	"33"	81	1350395	4.4
	"Tongue"	"20020"	"New Jersey"	"34"	422	8888147	3.8
	"Tongue"	"20020"	"New Mexico"	"35"	72	2092844	2.7
	"Tongue"	"20020"	"New York"	"36"	858	19593849	3.5
	"Tongue"	"20020"	"North Carolina"	"37"	508	10275758	4.0
	"Tongue"	"20020"	"North Dakota"	"38"	29	756755	3.5
	"Tongue"	"20020"	"Ohio"	"39"	627	11665706	4.2
	"Tongue"	"20020"	"Oklahoma"	"40"	162	3933602	3.4
	"Tongue"	"20020"	"Oregon"	"41"	238	4147294	4.5
	"Tongue"	"20020"	"Pennsylvania"	"42"	652	12794679	3.8
	"Tongue"	"20020"	"Rhode Island"	"44"	61	1056554	4.5
	"Tongue"	"20020"	"South Carolina"	"45"	252	5027102	3.9
	"Tongue"	"20020"	"South Dakota"	"46"	33	873732	3.3
	"Tongue"	"20020"	"Tennessee"	"47"	384	6714748	4.5
	"Tongue"	"20020"	"Texas"	"48"	1021	28291024	3.4
	"Tongue"	"20020"	"Utah"	"49"	81	3103540	2.8
	"Tongue"	"20020"	"Vermont"	"50"	34	625132	3.6
	"Tongue"	"20020"	"Virginia"	"51"	348	8471011	3.4
	"Tongue"	"20020"	"Washington"	"53"	370	7427951	4.2
	"Tongue"	"20020"	"West Virginia"	"54"	99	1818683	3.8
	"Tongue"	"20020"	"Wisconsin"	"55"	289	5793147	3.8
	"Tongue"	"20020"	"Wyoming"	"56"	32	579994	4.3
	"Salivary Gland"	"20030"	"Alabama"	"01"	84	4877989	1.4
	"Salivary Gland"	"20030"	"Arizona"	"04"	90	7048088	1.0
	"Salivary Gland"	"20030"	"Arkansas"	"05"	41	3003855	1.2
	"Salivary Gland"	"20030"	"California"	"06"	496	39337785	1.2
	"Salivary Gland"	"20030"	"Colorado"	"08"	65	5617421	1.1
	"Salivary Gland"	"20030"	"Connecticut"	"09"	53	3575324	1.3
	"Salivary Gland"	"20030"	"Delaware"	"10"	19	957942	1.7
	"Salivary Gland"	"20030"	"Florida"	"12"	343	20977089	1.2
	"Salivary Gland"	"20030"	"Georgia"	"13"	135	10417031	1.2
	"Salivary Gland"	"20030"	"Hawaii"	"15"	30	1425763	1.7
	"Salivary Gland"	"20030"	"Idaho"	"16"	25	1719745	1.3
	"Salivary Gland"	"20030"	"Illinois"	"17"	203	12779893	1.4
	"Salivary Gland"	"20030"	"Indiana"	"18"	106	6662068	1.4
	"Salivary Gland"	"20030"	"Iowa"	"19"	49	3143734	1.4
	"Salivary Gland"	"20030"	"Kansas"	"20"	44	2910892	1.3
	"Salivary Gland"	"20030"	"Kentucky"	"21"	77	4455590	1.5
	"Salivary Gland"	"20030"	"Louisiana"	"22"	71	4673673	1.3
	"Salivary Gland"	"20030"	"Maine"	"23"	16	1335743	1.0
	"Salivary Gland"	"20030"	"Maryland"	"24"	93	6028186	1.3
	"Salivary Gland"	"20030"	"Massachusetts"	"25"	98	6863560	1.2
	"Salivary Gland"	"20030"	"Michigan"	"26"	138	9976752	1.1
	"Salivary Gland"	"20030"	"Minnesota"	"27"	84	5569283	1.3
	"Salivary Gland"	"20030"	"Mississippi"	"28"	48	2990674	1.4
	"Salivary Gland"	"20030"	"Missouri"	"29"	86	6111382	1.1
	"Salivary Gland"	"20030"	"Nebraska"	"31"	32	1916998	1.5
	"Salivary Gland"	"20030"	"Nevada"	"32"	37	2972097	1.2
	"Salivary Gland"	"20030"	"New Jersey"	"34"	160	8888147	1.5
	"Salivary Gland"	"20030"	"New Mexico"	"35"	30	2092844	1.2
	"Salivary Gland"	"20030"	"New York"	"36"	304	19593849	1.3
	"Salivary Gland"	"20030"	"North Carolina"	"37"	155	10275758	1.3
	"Salivary Gland"	"20030"	"Ohio"	"39"	191	11665706	1.4
	"Salivary Gland"	"20030"	"Oklahoma"	"40"	73	3933602	1.7
	"Salivary Gland"	"20030"	"Oregon"	"41"	49	4147294	0.9
	"Salivary Gland"	"20030"	"Pennsylvania"	"42"	215	12794679	1.3
	"Salivary Gland"	"20030"	"Rhode Island"	"44"	17	1056554	1.3
	"Salivary Gland"	"20030"	"South Carolina"	"45"	67	5027102	1.1
	"Salivary Gland"	"20030"	"South Dakota"	"46"	16	873732	1.5
	"Salivary Gland"	"20030"	"Tennessee"	"47"	89	6714748	1.1
	"Salivary Gland"	"20030"	"Texas"	"48"	394	28291024	1.4
	"Salivary Gland"	"20030"	"Utah"	"49"	35	3103540	1.2
	"Salivary Gland"	"20030"	"Virginia"	"51"	114	8471011	1.2
	"Salivary Gland"	"20030"	"Washington"	"53"	93	7427951	1.1
	"Salivary Gland"	"20030"	"West Virginia"	"54"	33	1818683	1.5
	"Salivary Gland"	"20030"	"Wisconsin"	"55"	81	5793147	1.2
	"Floor of Mouth"	"20040"	"Alabama"	"01"	36	4877989	0.6
	"Floor of Mouth"	"20040"	"Arizona"	"04"	33	7048088	0.4
	"Floor of Mouth"	"20040"	"Arkansas"	"05"	28	3003855	0.7
	"Floor of Mouth"	"20040"	"California"	"06"	130	39337785	0.3
	"Floor of Mouth"	"20040"	"Colorado"	"08"	28	5617421	0.4
	"Floor of Mouth"	"20040"	"Connecticut"	"09"	19	3575324	0.4
	"Floor of Mouth"	"20040"	"Florida"	"12"	174	20977089	0.6
	"Floor of Mouth"	"20040"	"Georgia"	"13"	62	10417031	0.5
	"Floor of Mouth"	"20040"	"Illinois"	"17"	77	12779893	0.5
	"Floor of Mouth"	"20040"	"Indiana"	"18"	50	6662068	0.6
	"Floor of Mouth"	"20040"	"Iowa"	"19"	18	3143734	0.4
	"Floor of Mouth"	"20040"	"Kentucky"	"21"	24	4455590	0.4
	"Floor of Mouth"	"20040"	"Louisiana"	"22"	33	4673673	0.6
	"Floor of Mouth"	"20040"	"Maine"	"23"	16	1335743	0.7
	"Floor of Mouth"	"20040"	"Maryland"	"24"	31	6028186	0.4
	"Floor of Mouth"	"20040"	"Massachusetts"	"25"	56	6863560	0.6
	"Floor of Mouth"	"20040"	"Michigan"	"26"	89	9976752	0.7
	"Floor of Mouth"	"20040"	"Minnesota"	"27"	39	5569283	0.6
	"Floor of Mouth"	"20040"	"Mississippi"	"28"	32	2990674	0.9
	"Floor of Mouth"	"20040"	"Missouri"	"29"	49	6111382	0.6
	"Floor of Mouth"	"20040"	"New Jersey"	"34"	41	8888147	0.4
	"Floor of Mouth"	"20040"	"New York"	"36"	116	19593849	0.5
	"Floor of Mouth"	"20040"	"North Carolina"	"37"	69	10275758	0.5
	"Floor of Mouth"	"20040"	"Ohio"	"39"	86	11665706	0.6
	"Floor of Mouth"	"20040"	"Oklahoma"	"40"	20	3933602	0.4
	"Floor of Mouth"	"20040"	"Oregon"	"41"	24	4147294	0.5
	"Floor of Mouth"	"20040"	"Pennsylvania"	"42"	97	12794679	0.6
	"Floor of Mouth"	"20040"	"South Carolina"	"45"	49	5027102	0.7
	"Floor of Mouth"	"20040"	"Tennessee"	"47"	51	6714748	0.6
	"Floor of Mouth"	"20040"	"Texas"	"48"	118	28291024	0.4
	"Floor of Mouth"	"20040"	"Virginia"	"51"	55	8471011	0.5
	"Floor of Mouth"	"20040"	"Washington"	"53"	44	7427951	0.5
	"Floor of Mouth"	"20040"	"West Virginia"	"54"	16	1818683	0.7
	"Floor of Mouth"	"20040"	"Wisconsin"	"55"	52	5793147	0.7
	"Gum and Other Mouth"	"20050"	"Alabama"	"01"	114	4877989	1.9
	"Gum and Other Mouth"	"20050"	"Arizona"	"04"	105	7048088	1.2
	"Gum and Other Mouth"	"20050"	"Arkansas"	"05"	81	3003855	2.2
	"Gum and Other Mouth"	"20050"	"California"	"06"	481	39337785	1.1
	"Gum and Other Mouth"	"20050"	"Colorado"	"08"	81	5617421	1.4
	"Gum and Other Mouth"	"20050"	"Connecticut"	"09"	71	3575324	1.5
	"Gum and Other Mouth"	"20050"	"Florida"	"12"	436	20977089	1.5
	"Gum and Other Mouth"	"20050"	"Georgia"	"13"	190	10417031	1.7
	"Gum and Other Mouth"	"20050"	"Hawaii"	"15"	29	1425763	1.6
	"Gum and Other Mouth"	"20050"	"Idaho"	"16"	32	1719745	1.5
	"Gum and Other Mouth"	"20050"	"Illinois"	"17"	269	12779893	1.8
	"Gum and Other Mouth"	"20050"	"Indiana"	"18"	128	6662068	1.6
	"Gum and Other Mouth"	"20050"	"Iowa"	"19"	84	3143734	2.2
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	55	2910892	1.6
	"Gum and Other Mouth"	"20050"	"Kentucky"	"21"	77	4455590	1.4
	"Gum and Other Mouth"	"20050"	"Louisiana"	"22"	99	4673673	1.8
	"Gum and Other Mouth"	"20050"	"Maine"	"23"	36	1335743	1.8
	"Gum and Other Mouth"	"20050"	"Maryland"	"24"	106	6028186	1.4
	"Gum and Other Mouth"	"20050"	"Massachusetts"	"25"	142	6863560	1.7
	"Gum and Other Mouth"	"20050"	"Michigan"	"26"	228	9976752	1.8
	"Gum and Other Mouth"	"20050"	"Minnesota"	"27"	129	5569283	1.9
	"Gum and Other Mouth"	"20050"	"Mississippi"	"28"	64	2990674	1.8
	"Gum and Other Mouth"	"20050"	"Missouri"	"29"	146	6111382	1.9
	"Gum and Other Mouth"	"20050"	"Montana"	"30"	23	1053862	1.8
	"Gum and Other Mouth"	"20050"	"Nebraska"	"31"	48	1916998	2.0
	"Gum and Other Mouth"	"20050"	"Nevada"	"32"	48	2972097	1.3
	"Gum and Other Mouth"	"20050"	"New Hampshire"	"33"	17	1350395	1.0
	"Gum and Other Mouth"	"20050"	"New Jersey"	"34"	206	8888147	1.9
	"Gum and Other Mouth"	"20050"	"New Mexico"	"35"	33	2092844	1.3
	"Gum and Other Mouth"	"20050"	"New York"	"36"	418	19593849	1.7
	"Gum and Other Mouth"	"20050"	"North Carolina"	"37"	216	10275758	1.7
	"Gum and Other Mouth"	"20050"	"Ohio"	"39"	245	11665706	1.6
	"Gum and Other Mouth"	"20050"	"Oklahoma"	"40"	61	3933602	1.3
	"Gum and Other Mouth"	"20050"	"Oregon"	"41"	93	4147294	1.8
	"Gum and Other Mouth"	"20050"	"Pennsylvania"	"42"	291	12794679	1.7
	"Gum and Other Mouth"	"20050"	"Rhode Island"	"44"	27	1056554	1.8
	"Gum and Other Mouth"	"20050"	"South Carolina"	"45"	107	5027102	1.7
	"Gum and Other Mouth"	"20050"	"South Dakota"	"46"	17	873732	1.4
	"Gum and Other Mouth"	"20050"	"Tennessee"	"47"	151	6714748	1.8
	"Gum and Other Mouth"	"20050"	"Texas"	"48"	417	28291024	1.5
	"Gum and Other Mouth"	"20050"	"Utah"	"49"	27	3103540	1.0
	"Gum and Other Mouth"	"20050"	"Virginia"	"51"	164	8471011	1.7
	"Gum and Other Mouth"	"20050"	"Washington"	"53"	164	7427951	1.9
	"Gum and Other Mouth"	"20050"	"West Virginia"	"54"	58	1818683	2.3
	"Gum and Other Mouth"	"20050"	"Wisconsin"	"55"	130	5793147	1.8
	"Nasopharynx"	"20060"	"Alabama"	"01"	28	4877989	0.5
	"Nasopharynx"	"20060"	"Arizona"	"04"	34	7048088	0.4
	"Nasopharynx"	"20060"	"California"	"06"	290	39337785	0.7
	"Nasopharynx"	"20060"	"Colorado"	"08"	20	5617421	0.3
	"Nasopharynx"	"20060"	"Connecticut"	"09"	26	3575324	0.6
	"Nasopharynx"	"20060"	"Florida"	"12"	155	20977089	0.6
	"Nasopharynx"	"20060"	"Georgia"	"13"	62	10417031	0.6
	"Nasopharynx"	"20060"	"Hawaii"	"15"	17	1425763	1.1
	"Nasopharynx"	"20060"	"Illinois"	"17"	74	12779893	0.5
	"Nasopharynx"	"20060"	"Indiana"	"18"	36	6662068	0.5
	"Nasopharynx"	"20060"	"Iowa"	"19"	20	3143734	0.5
	"Nasopharynx"	"20060"	"Kentucky"	"21"	17	4455590	0.3
	"Nasopharynx"	"20060"	"Louisiana"	"22"	26	4673673	0.5
	"Nasopharynx"	"20060"	"Maryland"	"24"	30	6028186	0.4
	"Nasopharynx"	"20060"	"Massachusetts"	"25"	47	6863560	0.6
	"Nasopharynx"	"20060"	"Michigan"	"26"	53	9976752	0.4
	"Nasopharynx"	"20060"	"Minnesota"	"27"	29	5569283	0.5
	"Nasopharynx"	"20060"	"Mississippi"	"28"	20	2990674	0.6
	"Nasopharynx"	"20060"	"Missouri"	"29"	39	6111382	0.6
	"Nasopharynx"	"20060"	"Nebraska"	"31"	16	1916998	0.8
	"Nasopharynx"	"20060"	"Nevada"	"32"	24	2972097	0.7
	"Nasopharynx"	"20060"	"New Jersey"	"34"	62	8888147	0.6
	"Nasopharynx"	"20060"	"New York"	"36"	158	19593849	0.7
	"Nasopharynx"	"20060"	"North Carolina"	"37"	43	10275758	0.4
	"Nasopharynx"	"20060"	"Ohio"	"39"	58	11665706	0.4
	"Nasopharynx"	"20060"	"Oklahoma"	"40"	22	3933602	0.5
	"Nasopharynx"	"20060"	"Oregon"	"41"	22	4147294	0.5
	"Nasopharynx"	"20060"	"Pennsylvania"	"42"	99	12794679	0.6
	"Nasopharynx"	"20060"	"South Carolina"	"45"	22	5027102	0.4
	"Nasopharynx"	"20060"	"Tennessee"	"47"	44	6714748	0.6
	"Nasopharynx"	"20060"	"Texas"	"48"	137	28291024	0.5
	"Nasopharynx"	"20060"	"Virginia"	"51"	31	8471011	0.3
	"Nasopharynx"	"20060"	"Washington"	"53"	42	7427951	0.5
	"Nasopharynx"	"20060"	"West Virginia"	"54"	20	1818683	0.9
	"Nasopharynx"	"20060"	"Wisconsin"	"55"	28	5793147	0.4
	"Tonsil"	"20070"	"Alabama"	"01"	130	4877989	2.1
	"Tonsil"	"20070"	"Alaska"	"02"	17	740983	2.1
	"Tonsil"	"20070"	"Arizona"	"04"	144	7048088	1.6
	"Tonsil"	"20070"	"Arkansas"	"05"	121	3003855	3.3
	"Tonsil"	"20070"	"California"	"06"	866	39337785	1.9
	"Tonsil"	"20070"	"Colorado"	"08"	130	5617421	2.0
