"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	Count	Population	Age-Adjusted Rate
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	723	4891628	11.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	86	736624	10.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	791	7164228	8.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Arkansas"	"05"	536	3012161	14.5
	"Oral Cavity and Pharynx"	"20010-20100"	"California"	"06"	4578	39437463	10.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Colorado"	"08"	716	5697155	11.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Connecticut"	"09"	645	3574561	13.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Delaware"	"10"	163	966985	12.6
	"Oral Cavity and Pharynx"	"20010-20100"	"District of Columbia"	"11"	62	704147	8.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Florida"	"12"	4094	21254926	13.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Georgia"	"13"	1616	10519389	13.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Hawaii"	"15"	240	1423102	13.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Idaho"	"16"	245	1752074	11.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Illinois"	"17"	1824	12724685	11.7
	"Oral Cavity and Pharynx"	"20010-20100"	"Indiana"	"18"	1010	6698481	12.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Iowa"	"19"	577	3149900	14.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	388	2912748	11.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Kentucky"	"21"	767	4464273	13.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Louisiana"	"22"	738	4664450	13.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Maine"	"23"	266	1340123	13.0
	"Oral Cavity and Pharynx"	"20010-20100"	"Maryland"	"24"	868	6042153	11.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Massachusetts"	"25"	1002	6885720	11.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Michigan"	"26"	1599	9987286	12.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Minnesota"	"27"	857	5608762	12.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Mississippi"	"28"	432	2982879	11.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Missouri"	"29"	1003	6125986	12.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Montana"	"30"	182	1061818	12.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Nebraska"	"31"	303	1925512	13.1
	"Oral Cavity and Pharynx"	"20010-20100"	"New Hampshire"	"33"	237	1355064	12.3
	"Oral Cavity and Pharynx"	"20010-20100"	"New Jersey"	"34"	1317	8891730	11.5
	"Oral Cavity and Pharynx"	"20010-20100"	"New Mexico"	"35"	253	2093754	9.4
	"Oral Cavity and Pharynx"	"20010-20100"	"New York"	"36"	2762	19544098	11.3
	"Oral Cavity and Pharynx"	"20010-20100"	"North Carolina"	"37"	1589	10391358	12.2
	"Oral Cavity and Pharynx"	"20010-20100"	"North Dakota"	"38"	84	760062	10.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Ohio"	"39"	1877	11680892	12.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Oklahoma"	"40"	622	3943488	13.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Oregon"	"41"	634	4183538	11.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Pennsylvania"	"42"	2205	12809107	12.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Rhode Island"	"44"	158	1059338	11.3
	"Oral Cavity and Pharynx"	"20010-20100"	"South Carolina"	"45"	833	5091702	12.3
	"Oral Cavity and Pharynx"	"20010-20100"	"South Dakota"	"46"	123	879386	11.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Tennessee"	"47"	1126	6778180	13.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Texas"	"48"	3417	28624564	11.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Utah"	"49"	270	3155153	9.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Vermont"	"50"	109	624802	12.9
	"Oral Cavity and Pharynx"	"20010-20100"	"Virginia"	"51"	1163	8510920	11.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Washington"	"53"	1177	7526793	13.1
	"Oral Cavity and Pharynx"	"20010-20100"	"West Virginia"	"54"	379	1805953	14.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Wisconsin"	"55"	967	5809319	12.8
	"Oral Cavity and Pharynx"	"20010-20100"	"Wyoming"	"56"	64	579054	9.3
	"Lip"	"20010"	"Alabama"	"01"	48	4891628	0.7
	"Lip"	"20010"	"Arizona"	"04"	29	7164228	0.3
	"Lip"	"20010"	"Arkansas"	"05"	21	3012161	0.5
	"Lip"	"20010"	"California"	"06"	225	39437463	0.5
	"Lip"	"20010"	"Colorado"	"08"	47	5697155	0.7
	"Lip"	"20010"	"Connecticut"	"09"	16	3574561	0.3
	"Lip"	"20010"	"Florida"	"12"	76	21254926	0.3
	"Lip"	"20010"	"Georgia"	"13"	61	10519389	0.5
	"Lip"	"20010"	"Idaho"	"16"	21	1752074	1.0
	"Lip"	"20010"	"Illinois"	"17"	52	12724685	0.3
	"Lip"	"20010"	"Indiana"	"18"	22	6698481	0.2
	"Lip"	"20010"	"Iowa"	"19"	55	3149900	1.4
	"Lip"	"20010"	"Kentucky"	"21"	29	4464273	0.5
	"Lip"	"20010"	"Louisiana"	"22"	41	4664450	0.7
	"Lip"	"20010"	"Maryland"	"24"	23	6042153	0.3
	"Lip"	"20010"	"Massachusetts"	"25"	33	6885720	0.4
	"Lip"	"20010"	"Michigan"	"26"	46	9987286	0.4
	"Lip"	"20010"	"Minnesota"	"27"	55	5608762	0.8
	"Lip"	"20010"	"Missouri"	"29"	32	6125986	0.4
	"Lip"	"20010"	"Nebraska"	"31"	30	1925512	1.3
	"Lip"	"20010"	"New Jersey"	"34"	24	8891730	0.2
	"Lip"	"20010"	"New York"	"36"	81	19544098	0.3
	"Lip"	"20010"	"North Carolina"	"37"	43	10391358	0.4
	"Lip"	"20010"	"North Dakota"	"38"	18	760062	2.1
	"Lip"	"20010"	"Ohio"	"39"	29	11680892	0.2
	"Lip"	"20010"	"Oklahoma"	"40"	57	3943488	1.2
	"Lip"	"20010"	"Oregon"	"41"	26	4183538	0.5
	"Lip"	"20010"	"Pennsylvania"	"42"	67	12809107	0.4
	"Lip"	"20010"	"South Carolina"	"45"	17	5091702	0.3
	"Lip"	"20010"	"Tennessee"	"47"	17	6778180	0.2
	"Lip"	"20010"	"Texas"	"48"	87	28624564	0.3
	"Lip"	"20010"	"Utah"	"49"	31	3155153	1.1
	"Lip"	"20010"	"Virginia"	"51"	25	8510920	0.2
	"Lip"	"20010"	"Washington"	"53"	128	7526793	1.5
	"Lip"	"20010"	"Wisconsin"	"55"	55	5809319	0.7
	"Tongue"	"20020"	"Alabama"	"01"	210	4891628	3.3
	"Tongue"	"20020"	"Alaska"	"02"	22	736624	2.6
	"Tongue"	"20020"	"Arizona"	"04"	303	7164228	3.3
	"Tongue"	"20020"	"Arkansas"	"05"	162	3012161	4.4
	"Tongue"	"20020"	"California"	"06"	1472	39437463	3.2
	"Tongue"	"20020"	"Colorado"	"08"	245	5697155	3.8
	"Tongue"	"20020"	"Connecticut"	"09"	223	3574561	4.8
	"Tongue"	"20020"	"Delaware"	"10"	41	966985	3.2
	"Tongue"	"20020"	"District of Columbia"	"11"	17	704147	2.4
	"Tongue"	"20020"	"Florida"	"12"	1335	21254926	4.4
	"Tongue"	"20020"	"Georgia"	"13"	443	10519389	3.7
	"Tongue"	"20020"	"Hawaii"	"15"	89	1423102	4.9
	"Tongue"	"20020"	"Idaho"	"16"	72	1752074	3.2
	"Tongue"	"20020"	"Illinois"	"17"	583	12724685	3.7
	"Tongue"	"20020"	"Indiana"	"18"	321	6698481	3.9
	"Tongue"	"20020"	"Iowa"	"19"	190	3149900	4.8
	"Tongue"	"20020"	"Kansas"	"20"	137	2912748	4.1
	"Tongue"	"20020"	"Kentucky"	"21"	251	4464273	4.6
	"Tongue"	"20020"	"Louisiana"	"22"	252	4664450	4.4
	"Tongue"	"20020"	"Maine"	"23"	79	1340123	3.7
	"Tongue"	"20020"	"Maryland"	"24"	282	6042153	3.6
	"Tongue"	"20020"	"Massachusetts"	"25"	329	6885720	3.7
	"Tongue"	"20020"	"Michigan"	"26"	536	9987286	4.0
	"Tongue"	"20020"	"Minnesota"	"27"	268	5608762	3.8
	"Tongue"	"20020"	"Mississippi"	"28"	107	2982879	2.9
	"Tongue"	"20020"	"Missouri"	"29"	309	6125986	4.0
	"Tongue"	"20020"	"Montana"	"30"	58	1061818	3.9
	"Tongue"	"20020"	"Nebraska"	"31"	102	1925512	4.4
	"Tongue"	"20020"	"New Hampshire"	"33"	73	1355064	4.0
	"Tongue"	"20020"	"New Jersey"	"34"	408	8891730	3.6
	"Tongue"	"20020"	"New Mexico"	"35"	83	2093754	3.2
	"Tongue"	"20020"	"New York"	"36"	852	19544098	3.5
	"Tongue"	"20020"	"North Carolina"	"37"	508	10391358	3.9
	"Tongue"	"20020"	"North Dakota"	"38"	19	760062	2.0
	"Tongue"	"20020"	"Ohio"	"39"	617	11680892	4.1
	"Tongue"	"20020"	"Oklahoma"	"40"	198	3943488	4.2
	"Tongue"	"20020"	"Oregon"	"41"	229	4183538	4.2
	"Tongue"	"20020"	"Pennsylvania"	"42"	766	12809107	4.4
	"Tongue"	"20020"	"Rhode Island"	"44"	51	1059338	3.7
	"Tongue"	"20020"	"South Carolina"	"45"	272	5091702	4.0
	"Tongue"	"20020"	"South Dakota"	"46"	36	879386	3.4
	"Tongue"	"20020"	"Tennessee"	"47"	375	6778180	4.3
	"Tongue"	"20020"	"Texas"	"48"	1085	28624564	3.6
	"Tongue"	"20020"	"Utah"	"49"	92	3155153	3.2
	"Tongue"	"20020"	"Vermont"	"50"	45	624802	5.1
	"Tongue"	"20020"	"Virginia"	"51"	368	8510920	3.5
	"Tongue"	"20020"	"Washington"	"53"	408	7526793	4.5
	"Tongue"	"20020"	"West Virginia"	"54"	102	1805953	4.3
	"Tongue"	"20020"	"Wisconsin"	"55"	306	5809319	4.1
	"Tongue"	"20020"	"Wyoming"	"56"	22	579054	3.2
	"Salivary Gland"	"20030"	"Alabama"	"01"	82	4891628	1.4
	"Salivary Gland"	"20030"	"Arizona"	"04"	105	7164228	1.1
	"Salivary Gland"	"20030"	"Arkansas"	"05"	55	3012161	1.5
	"Salivary Gland"	"20030"	"California"	"06"	526	39437463	1.2
	"Salivary Gland"	"20030"	"Colorado"	"08"	70	5697155	1.2
	"Salivary Gland"	"20030"	"Connecticut"	"09"	56	3574561	1.2
	"Salivary Gland"	"20030"	"Delaware"	"10"	21	966985	1.8
	"Salivary Gland"	"20030"	"Florida"	"12"	387	21254926	1.3
	"Salivary Gland"	"20030"	"Georgia"	"13"	207	10519389	1.9
	"Salivary Gland"	"20030"	"Hawaii"	"15"	34	1423102	2.0
	"Salivary Gland"	"20030"	"Idaho"	"16"	21	1752074	1.0
	"Salivary Gland"	"20030"	"Illinois"	"17"	211	12724685	1.4
	"Salivary Gland"	"20030"	"Indiana"	"18"	105	6698481	1.3
	"Salivary Gland"	"20030"	"Iowa"	"19"	58	3149900	1.4
	"Salivary Gland"	"20030"	"Kansas"	"20"	36	2912748	1.0
	"Salivary Gland"	"20030"	"Kentucky"	"21"	73	4464273	1.4
	"Salivary Gland"	"20030"	"Louisiana"	"22"	53	4664450	1.0
	"Salivary Gland"	"20030"	"Maine"	"23"	26	1340123	1.4
	"Salivary Gland"	"20030"	"Maryland"	"24"	94	6042153	1.3
	"Salivary Gland"	"20030"	"Massachusetts"	"25"	101	6885720	1.2
	"Salivary Gland"	"20030"	"Michigan"	"26"	144	9987286	1.2
	"Salivary Gland"	"20030"	"Minnesota"	"27"	97	5608762	1.4
	"Salivary Gland"	"20030"	"Mississippi"	"28"	58	2982879	1.6
	"Salivary Gland"	"20030"	"Missouri"	"29"	94	6125986	1.2
	"Salivary Gland"	"20030"	"Montana"	"30"	20	1061818	1.4
	"Salivary Gland"	"20030"	"Nebraska"	"31"	29	1925512	1.4
	"Salivary Gland"	"20030"	"New Hampshire"	"33"	18	1355064	1.0
	"Salivary Gland"	"20030"	"New Jersey"	"34"	177	8891730	1.7
	"Salivary Gland"	"20030"	"New Mexico"	"35"	27	2093754	1.1
	"Salivary Gland"	"20030"	"New York"	"36"	317	19544098	1.3
	"Salivary Gland"	"20030"	"North Carolina"	"37"	146	10391358	1.2
	"Salivary Gland"	"20030"	"Ohio"	"39"	166	11680892	1.2
	"Salivary Gland"	"20030"	"Oklahoma"	"40"	79	3943488	1.7
	"Salivary Gland"	"20030"	"Oregon"	"41"	56	4183538	1.1
	"Salivary Gland"	"20030"	"Pennsylvania"	"42"	205	12809107	1.3
	"Salivary Gland"	"20030"	"Rhode Island"	"44"	20	1059338	1.6
	"Salivary Gland"	"20030"	"South Carolina"	"45"	66	5091702	1.0
	"Salivary Gland"	"20030"	"Tennessee"	"47"	111	6778180	1.4
	"Salivary Gland"	"20030"	"Texas"	"48"	361	28624564	1.3
	"Salivary Gland"	"20030"	"Utah"	"49"	37	3155153	1.3
	"Salivary Gland"	"20030"	"Virginia"	"51"	109	8510920	1.1
	"Salivary Gland"	"20030"	"Washington"	"53"	111	7526793	1.3
	"Salivary Gland"	"20030"	"West Virginia"	"54"	37	1805953	1.5
	"Salivary Gland"	"20030"	"Wisconsin"	"55"	83	5809319	1.2
	"Floor of Mouth"	"20040"	"Alabama"	"01"	22	4891628	0.4
	"Floor of Mouth"	"20040"	"Arizona"	"04"	27	7164228	0.3
	"Floor of Mouth"	"20040"	"Arkansas"	"05"	25	3012161	0.6
	"Floor of Mouth"	"20040"	"California"	"06"	134	39437463	0.3
	"Floor of Mouth"	"20040"	"Colorado"	"08"	30	5697155	0.5
	"Floor of Mouth"	"20040"	"Connecticut"	"09"	36	3574561	0.7
	"Floor of Mouth"	"20040"	"Florida"	"12"	190	21254926	0.6
	"Floor of Mouth"	"20040"	"Georgia"	"13"	68	10519389	0.6
	"Floor of Mouth"	"20040"	"Idaho"	"16"	18	1752074	0.8
	"Floor of Mouth"	"20040"	"Illinois"	"17"	76	12724685	0.5
	"Floor of Mouth"	"20040"	"Indiana"	"18"	27	6698481	0.3
	"Floor of Mouth"	"20040"	"Iowa"	"19"	27	3149900	0.7
	"Floor of Mouth"	"20040"	"Kentucky"	"21"	26	4464273	0.4
	"Floor of Mouth"	"20040"	"Louisiana"	"22"	40	4664450	0.7
	"Floor of Mouth"	"20040"	"Maine"	"23"	16	1340123	0.8
	"Floor of Mouth"	"20040"	"Maryland"	"24"	23	6042153	0.3
	"Floor of Mouth"	"20040"	"Massachusetts"	"25"	43	6885720	0.5
	"Floor of Mouth"	"20040"	"Michigan"	"26"	85	9987286	0.6
	"Floor of Mouth"	"20040"	"Minnesota"	"27"	41	5608762	0.6
	"Floor of Mouth"	"20040"	"Mississippi"	"28"	28	2982879	0.7
	"Floor of Mouth"	"20040"	"Missouri"	"29"	34	6125986	0.4
	"Floor of Mouth"	"20040"	"New Jersey"	"34"	45	8891730	0.4
	"Floor of Mouth"	"20040"	"New York"	"36"	103	19544098	0.4
	"Floor of Mouth"	"20040"	"North Carolina"	"37"	70	10391358	0.5
	"Floor of Mouth"	"20040"	"Ohio"	"39"	74	11680892	0.5
	"Floor of Mouth"	"20040"	"Oklahoma"	"40"	16	3943488	0.3
	"Floor of Mouth"	"20040"	"Oregon"	"41"	27	4183538	0.5
	"Floor of Mouth"	"20040"	"Pennsylvania"	"42"	90	12809107	0.5
	"Floor of Mouth"	"20040"	"South Carolina"	"45"	36	5091702	0.5
	"Floor of Mouth"	"20040"	"Tennessee"	"47"	45	6778180	0.5
	"Floor of Mouth"	"20040"	"Texas"	"48"	117	28624564	0.4
	"Floor of Mouth"	"20040"	"Virginia"	"51"	46	8510920	0.5
	"Floor of Mouth"	"20040"	"Washington"	"53"	35	7526793	0.4
	"Floor of Mouth"	"20040"	"West Virginia"	"54"	16	1805953	0.6
	"Floor of Mouth"	"20040"	"Wisconsin"	"55"	53	5809319	0.7
	"Gum and Other Mouth"	"20050"	"Alabama"	"01"	100	4891628	1.6
	"Gum and Other Mouth"	"20050"	"Arizona"	"04"	67	7164228	0.7
	"Gum and Other Mouth"	"20050"	"Arkansas"	"05"	79	3012161	2.2
	"Gum and Other Mouth"	"20050"	"California"	"06"	571	39437463	1.3
	"Gum and Other Mouth"	"20050"	"Colorado"	"08"	84	5697155	1.4
	"Gum and Other Mouth"	"20050"	"Connecticut"	"09"	95	3574561	2.0
	"Gum and Other Mouth"	"20050"	"Delaware"	"10"	19	966985	1.5
	"Gum and Other Mouth"	"20050"	"Florida"	"12"	471	21254926	1.5
	"Gum and Other Mouth"	"20050"	"Georgia"	"13"	225	10519389	2.0
	"Gum and Other Mouth"	"20050"	"Hawaii"	"15"	25	1423102	1.5
	"Gum and Other Mouth"	"20050"	"Idaho"	"16"	28	1752074	1.4
	"Gum and Other Mouth"	"20050"	"Illinois"	"17"	236	12724685	1.5
	"Gum and Other Mouth"	"20050"	"Indiana"	"18"	122	6698481	1.5
	"Gum and Other Mouth"	"20050"	"Iowa"	"19"	79	3149900	1.9
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	53	2912748	1.5
	"Gum and Other Mouth"	"20050"	"Kentucky"	"21"	109	4464273	2.0
	"Gum and Other Mouth"	"20050"	"Louisiana"	"22"	97	4664450	1.8
	"Gum and Other Mouth"	"20050"	"Maine"	"23"	34	1340123	1.6
	"Gum and Other Mouth"	"20050"	"Maryland"	"24"	116	6042153	1.6
	"Gum and Other Mouth"	"20050"	"Massachusetts"	"25"	111	6885720	1.3
	"Gum and Other Mouth"	"20050"	"Michigan"	"26"	222	9987286	1.7
	"Gum and Other Mouth"	"20050"	"Minnesota"	"27"	106	5608762	1.5
	"Gum and Other Mouth"	"20050"	"Mississippi"	"28"	57	2982879	1.6
	"Gum and Other Mouth"	"20050"	"Missouri"	"29"	134	6125986	1.8
	"Gum and Other Mouth"	"20050"	"Montana"	"30"	26	1061818	1.9
	"Gum and Other Mouth"	"20050"	"Nebraska"	"31"	44	1925512	2.0
	"Gum and Other Mouth"	"20050"	"New Hampshire"	"33"	23	1355064	1.1
	"Gum and Other Mouth"	"20050"	"New Jersey"	"34"	174	8891730	1.6
	"Gum and Other Mouth"	"20050"	"New Mexico"	"35"	40	2093754	1.5
	"Gum and Other Mouth"	"20050"	"New York"	"36"	379	19544098	1.6
	"Gum and Other Mouth"	"20050"	"North Carolina"	"37"	223	10391358	1.8
	"Gum and Other Mouth"	"20050"	"Ohio"	"39"	306	11680892	2.0
	"Gum and Other Mouth"	"20050"	"Oklahoma"	"40"	63	3943488	1.3
	"Gum and Other Mouth"	"20050"	"Oregon"	"41"	79	4183538	1.4
	"Gum and Other Mouth"	"20050"	"Pennsylvania"	"42"	349	12809107	2.0
	"Gum and Other Mouth"	"20050"	"Rhode Island"	"44"	21	1059338	1.5
	"Gum and Other Mouth"	"20050"	"South Carolina"	"45"	114	5091702	1.7
	"Gum and Other Mouth"	"20050"	"South Dakota"	"46"	17	879386	1.5
	"Gum and Other Mouth"	"20050"	"Tennessee"	"47"	141	6778180	1.7
	"Gum and Other Mouth"	"20050"	"Texas"	"48"	429	28624564	1.5
	"Gum and Other Mouth"	"20050"	"Utah"	"49"	44	3155153	1.7
	"Gum and Other Mouth"	"20050"	"Virginia"	"51"	161	8510920	1.6
	"Gum and Other Mouth"	"20050"	"Washington"	"53"	142	7526793	1.6
	"Gum and Other Mouth"	"20050"	"West Virginia"	"54"	60	1805953	2.2
	"Gum and Other Mouth"	"20050"	"Wisconsin"	"55"	141	5809319	1.9
	"Nasopharynx"	"20060"	"Alabama"	"01"	25	4891628	0.4
	"Nasopharynx"	"20060"	"Arizona"	"04"	21	7164228	0.3
	"Nasopharynx"	"20060"	"Arkansas"	"05"	18	3012161	0.5
	"Nasopharynx"	"20060"	"California"	"06"	295	39437463	0.7
	"Nasopharynx"	"20060"	"Colorado"	"08"	23	5697155	0.3
	"Nasopharynx"	"20060"	"Connecticut"	"09"	16	3574561	0.4
	"Nasopharynx"	"20060"	"Florida"	"12"	157	21254926	0.6
	"Nasopharynx"	"20060"	"Georgia"	"13"	67	10519389	0.6
	"Nasopharynx"	"20060"	"Hawaii"	"15"	21	1423102	1.2
	"Nasopharynx"	"20060"	"Illinois"	"17"	77	12724685	0.5
	"Nasopharynx"	"20060"	"Indiana"	"18"	28	6698481	0.3
	"Nasopharynx"	"20060"	"Iowa"	"19"	16	3149900	0.4
	"Nasopharynx"	"20060"	"Kansas"	"20"	16	2912748	0.5
	"Nasopharynx"	"20060"	"Kentucky"	"21"	17	4464273	0.3
	"Nasopharynx"	"20060"	"Louisiana"	"22"	34	4664450	0.7
	"Nasopharynx"	"20060"	"Maryland"	"24"	51	6042153	0.8
	"Nasopharynx"	"20060"	"Massachusetts"	"25"	40	6885720	0.5
	"Nasopharynx"	"20060"	"Michigan"	"26"	44	9987286	0.4
	"Nasopharynx"	"20060"	"Minnesota"	"27"	32	5608762	0.5
	"Nasopharynx"	"20060"	"Mississippi"	"28"	22	2982879	0.6
	"Nasopharynx"	"20060"	"Missouri"	"29"	30	6125986	0.4
	"Nasopharynx"	"20060"	"New Jersey"	"34"	45	8891730	0.4
	"Nasopharynx"	"20060"	"New York"	"36"	173	19544098	0.8
	"Nasopharynx"	"20060"	"North Carolina"	"37"	58	10391358	0.5
	"Nasopharynx"	"20060"	"Ohio"	"39"	69	11680892	0.5
	"Nasopharynx"	"20060"	"Oklahoma"	"40"	26	3943488	0.6
	"Nasopharynx"	"20060"	"Oregon"	"41"	20	4183538	0.4
	"Nasopharynx"	"20060"	"Pennsylvania"	"42"	61	12809107	0.4
	"Nasopharynx"	"20060"	"South Carolina"	"45"	28	5091702	0.5
	"Nasopharynx"	"20060"	"Tennessee"	"47"	45	6778180	0.6
	"Nasopharynx"	"20060"	"Texas"	"48"	145	28624564	0.5
	"Nasopharynx"	"20060"	"Virginia"	"51"	37	8510920	0.4
	"Nasopharynx"	"20060"	"Washington"	"53"	56	7526793	0.7
	"Nasopharynx"	"20060"	"Wisconsin"	"55"	33	5809319	0.5
	"Tonsil"	"20070"	"Alabama"	"01"	135	4891628	2.2
	"Tonsil"	"20070"	"Alaska"	"02"	23	736624	2.8
	"Tonsil"	"20070"	"Arizona"	"04"	148	7164228	1.7
	"Tonsil"	"20070"	"Arkansas"	"05"	107	3012161	3.0
	"Tonsil"	"20070"	"California"	"06"	878	39437463	1.9
	"Tonsil"	"20070"	"Colorado"	"08"	144	5697155	2.1
	"Tonsil"	"20070"	"Connecticut"	"09"	125	3574561	2.7
	"Tonsil"	"20070"	"Delaware"	"10"	43	966985	3.2
	"Tonsil"	"20070"	"Florida"	"12"	835	21254926	2.8
